SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
000202.62+085628.4,-21.13550036659925,-21.563299751838336,-22.13947241038147,-22.30287641042632,-22.38094732862689,-19.396186587534014,-20.58175763157426,-22.66159735535182,-23.11435701889217,-23.418456336042656,-23.663987303507746,-24.02989754832901,2
000410.80-104527.1,-21.77309332357947,-22.10734482423742,-22.480147635559646,-22.635554477129872,-22.739258794648315,-20.86387781645205,-21.35168863471281,-23.08460983781718,-23.601016711786315,-23.95902003245964,-24.203440601188717,-24.519164742197784,2
000547.54+020302.2,-22.778157754256085,-22.809251459664637,-22.95744854803993,-23.153951462682727,-23.047077745411624,-22.369876234483268,-22.459108049801213,-23.27118944467725,-23.6553555610233,-24.364594441658397,-24.74779061072529,-25.2769919935638,2
000834.71+003156.2,-22.451673786774688,-22.696093589919705,-22.945470289891592,-23.03374631087793,-22.987767013200983,-22.098089668494303,-22.514915241779907,-23.211577605440954,-23.25709581547733,-23.60941116926287,-24.24715839720313,-24.69745704315812,2
000904.54-103428.7,-22.050676956241503,-22.225504952818834,-22.369389108671587,-22.553976819741987,-22.533399542353404,-21.389285511124505,-21.328328974985634,-22.745907783400494,-22.99237924211017,-23.459517886230987,-23.34490901549497,-23.864691737079173,2
000928.48+013659.5,-20.38782530684309,-20.70796015804108,-21.240241824371893,-21.37593801129509,-21.43890790458203,-19.435061540064535,-19.9495066577076,-21.609312797763504,-22.11503168294469,-22.75551043562165,-22.98504248834449,-23.442134580358186,2
000934.85+180343.0,-23.6408571758988,-23.81830334211057,-23.978369662317707,-24.092382998226903,-24.22269222971237,-23.533037830362925,-23.33185900748888,-23.903559932287337,-24.08334285113293,-24.45825643510168,-25.41370156679041,-25.96319748980102,2
000943.14-090839.2,-22.067307399899363,-22.23366784569345,-22.519934488439443,-22.713607857803567,-22.734358897626617,-20.76548639818717,-21.57123103386411,-23.205180490548248,-23.56657314082981,-23.97294021470771,-24.35060394428608,-24.767579759194494,2
001224.01-102226.5,-22.4552064418736,-22.697817284198024,-23.08764195442696,-23.341627863408867,-23.289840611500345,-21.92780872283588,-22.11674657831932,-23.51386831180872,-23.836131108824805,-24.275138214724457,-24.78726350041004,-25.251463080865687,2
001811.20-020144.5,-22.748997900920287,-22.948106610377845,-23.369673618202278,-23.597242590189577,-23.7875156653879,-22.25238358972808,-22.53634258180586,-24.336909014686448,-24.773317103400228,-25.183652457058287,-25.502808184559303,-25.907516222800385,2
