SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
000217.89+344727.5,-22.2361879144942,-22.754555405611573,-23.201758563188896,-23.5433767096062,-23.812756429826734,-13.877054542349416,-20.89481173976052,-24.00266259086617,-24.313634052950626,-24.705327244067245,-25.57146264474992,-26.33607511698328,5
001345.01+320214.4,-22.945148078787703,-23.404782258604374,-23.867144494314367,-24.01700371110012,-24.26728460057725,-21.24231703108156,-23.083053502067955,-25.003360648489195,-25.07353376085837,-25.5782757729784,-25.638193215277106,-26.307993109637163,5
002056.81+001147.5,-23.668236493716133,-24.063160200963285,-24.565350754351368,-24.73831399241659,-24.960501806715207,-21.556653481497765,-23.371777284006825,-25.288043726563277,-25.480968088896283,-25.71978150214812,-26.70225314736217,-27.55404566812845,5
002320.24+042901.2,-24.07961453557209,-24.174238498954864,-24.536144055030203,-24.69338827497792,-24.78176185109689,-21.29230482091061,-23.51273469698948,-24.79190458506815,-24.937902995980853,-25.662838100416607,-26.082728198136927,-26.720256547624643,5
002708.00+173249.4,-23.705064059605768,-23.836921465899454,-24.338131096584103,-24.55382616820945,-24.85861445631308,-17.232985119885377,-23.92249352835345,-25.264067255787158,-25.427573531114184,-25.947883849208825,-26.486218245676728,-27.413810967416275,5
003302.77+162745.6,-22.99506577856232,-23.552633281252454,-24.174508943574057,-24.41449597673872,-24.714857100415085,-19.50977249030333,-22.36922627287935,-25.228914222818588,-25.82437607313089,-26.06664662861139,-26.708733804479127,-27.697861786650304,5
004225.68-023457.4,-23.8135031061512,-24.104333069093865,-24.492371012091414,-24.690963927322883,-24.913550052717028,-21.40791415509061,-23.452132548324837,-25.198525235213523,-25.30240299191472,-25.74234850848501,-26.39259110956626,-27.325880598373697,5
005717.89+220320.8,-23.205648654661697,-23.84316924140972,-24.107737947129756,-24.36858475212093,-24.65866584941999,-16.946563916626594,-22.516260967166343,-25.116200188117663,-25.16965766016545,-25.491583985264352,-26.00206652410584,-26.70864620442408,5
005951.74-025858.9,-24.243221530765645,-24.42514586149939,-24.724237437967982,-24.745027838388832,-24.87440206205125,-22.269583176545492,-24.067069215214424,-25.348670360686352,-25.43333454067721,-26.064628516292856,-25.81549585463204,-26.663350377842672,5
010120.12+023429.5,-23.97149875402054,-24.110911997830524,-24.456029700955817,-24.676954868176374,-24.953181021639327,-19.897503907700493,-23.55009260823847,-24.83155174972488,-25.162831120912017,-25.734311950489392,-26.456673916569805,-27.386672396754896,5
010205.89+001156.9,-24.278270896631355,-24.57398135478244,-24.93476139118576,-25.17184451940789,-25.33474489165964,-21.821092413099333,-23.34352989920667,-25.39436501719774,-25.663645984846223,-26.053538703993024,-26.153571150046364,-26.909057359450973,5
010346.58+084651.0,-23.754599010746222,-24.01877300860661,-24.468064264400013,-24.55691275403797,-24.765627310929105,-20.945275938592296,-23.176873014359185,-24.94364600020802,-24.925430809594037,-25.4108746982816,-26.56100669163153,-27.40152371365296,5
011224.66+321400.6,-24.03954019614153,-24.185030938559283,-24.46134855863892,-24.60818786692073,-24.831593873989416,-21.942937280898025,-23.878414557750947,-25.16301135137224,-25.25650251809103,-25.691801276774942,-26.03373031288104,-26.98181660673592,5
011301.74-000003.9,-23.24499521145788,-23.47318710557148,-23.99431379629409,-24.20402388433552,-24.54055652444605,-21.37997255613653,-22.97361785352448,-25.16692245827457,-24.668190664908185,-25.38934337671946,-26.482435262162888,-27.46434179906812,5
012211.74+213454.3,-23.005593580213965,-23.282112552063648,-24.08974554830537,-24.4355990084213,-24.82284937224977,-20.46710644068641,-22.13899180702244,-25.23443917814652,-24.794983769083306,-25.607215637484764,-26.70302970602724,-27.701360217387236,5
012506.73-040625.0,-23.377085865748988,-23.584628478989583,-24.092875816315004,-24.40476027885702,-24.657285216722293,-19.091091337962123,-23.086533816587817,-24.94203105257547,-25.28441818727087,-25.6995397696522,-26.60179688247107,-27.48321154258624,5
012753.05+044330.2,-24.108669764053325,-24.21709942658698,-24.504159637881912,-24.54598724911946,-24.73694743624228,-21.177074325056644,-23.46174355866645,-25.26170880490502,-25.362266450201574,-25.772760652681335,-26.195388033190284,-26.947597141830997,5
012810.94+005554.2,-23.5247272520198,-24.01341798551944,-24.27757951480412,-24.515731677795472,-24.68601138269417,-21.84741471742297,-23.232563301129243,-24.938418504069958,-24.830354764372395,-25.69923172014664,-25.35999038954369,-26.007369161115705,5
013027.10+063107.7,-23.810302770452036,-23.91075467936457,-24.330349259832197,-24.502450168339976,-24.75201425292521,-20.12694714904333,-23.474116032014983,-24.790056361635013,-25.03294129121339,-25.53881036691612,-26.13552606703049,-26.998814657146948,5
013151.62+185621.8,-23.818795631126918,-24.036295780585267,-24.48575901091423,-24.52692640735574,-24.744944918984864,-20.462157939460194,-23.14962551011052,-25.100000924933777,-25.170134163069093,-25.750954526704746,-26.712687051792336,-27.623760171404943,5
014001.01+314922.8,-22.81699083337093,-23.327288974618607,-23.856313381899646,-24.110003193443216,-24.404477643682267,-19.23375762410916,-22.065629582185043,-24.60519420326224,-24.941028365872683,-25.07597299223454,-25.661779772955253,-26.49990964656215,5
014304.00+045019.7,-23.90577687767361,-24.44253166599029,-24.98595585083374,-25.267644421889443,-25.44561417482637,-22.020134694951253,-23.51290230630791,-25.823609313780757,-25.994560304325763,-26.209374995341214,-27.061520511240744,-27.99423874646505,5
014631.99+133506.3,-24.58607319001069,-24.627375368542403,-24.81425286034208,-24.867214968003463,-24.93405967372156,-20.13576716958293,-22.77208374235913,-25.1309461722527,-25.11106350605725,-25.711954698796134,-26.57132357853216,-27.437426533764885,5
014901.18+314548.6,-23.35170939468081,-23.53115645989198,-23.95863093026477,-24.07753898874557,-24.255185468494854,-20.180092590628217,-22.94845216675076,-25.08992680775149,-25.36417386668467,-25.381595345520665,-25.93521034022605,-26.86850050666907,5
015318.19+000911.4,-23.92252868083114,-24.19691218905187,-24.45347742407632,-24.54930565992812,-24.666511089487766,-20.821521445709397,-23.39254697695044,-24.904956169844017,-25.157317448263115,-25.62989322670782,-25.955827541164613,-26.87167949210152,5
015433.71+163100.5,-23.46290319818069,-23.47232869635036,-23.97627788320619,-24.256944009086585,-24.538007815778563,-20.76342245348472,-22.74865590257297,-24.874300890703832,-24.87332323080097,-25.573248799696053,-26.349334892121544,-27.3697515403473,5
020337.80+044938.0,-22.816804557698216,-23.34487737702948,-23.86589573444462,-24.103966231173377,-24.512382140886917,-19.959619312710736,-22.284001120024744,-25.035395099539432,-24.26381631973833,-24.68838950963297,-25.838306947123723,-26.584359952262247,5
022232.65+032242.8,-25.42012207665668,-25.589379239168537,-25.90660707815303,-26.068507082786542,-26.29161766803843,-17.235261545274298,-25.241098747857933,-26.57798615064946,-26.34945862940485,-26.58256218783556,-26.899182671154964,-27.55060406158668,5
022633.47+030834.3,-23.98734762606521,-24.17243449212722,-24.58046559157089,-24.75197895083267,-24.84756497950204,-20.87038268630628,-23.83687669474413,-25.317330237473502,-25.50333459356738,-25.819401450234817,-25.455448853624794,-26.004867324729943,5
023016.88-000743.7,-23.10177184055258,-23.54364037025361,-23.871624310704146,-23.98797533228823,-24.17389494681381,-20.742471454398235,-22.60871382380996,-24.52988677375768,-24.82842088587632,-25.414203159002245,-25.52393902572937,-26.20874915277751,5
023204.15+003301.6,-23.854382900040783,-24.023129397038684,-24.27102727620587,-24.35332371086527,-24.437462088754145,-20.88973340450491,-23.638972888397006,-24.598901002477454,-24.8067381017883,-25.20858627778855,-25.277141789533587,-25.99101819419741,5
023322.16-045506.8,-24.559065727468635,-24.746365203027967,-25.10631890450385,-25.121586478806236,-25.28092577148608,-22.167725202778573,-24.555415863159716,-25.386576598213416,-25.239414441563373,-25.32683148425815,-26.250033683037078,-27.104922732029507,5
023606.24-084257.2,-24.49874189451917,-24.622075512301983,-24.89601273211571,-24.98876984776863,-25.14902112004044,-21.14034092652113,-24.317540217636147,-25.178386975402915,-25.38557910727833,-25.61571890078664,-26.596736451233305,-27.54459576691735,5
025240.44-043834.4,-25.1036003357024,-25.17767873984369,-25.40858071003264,-25.564641618767777,-25.74143410774116,-19.84708030872949,-24.937186408811424,-25.6604863264747,-25.519799240599117,-26.21010275770913,-27.06637881337344,-27.958742247723197,5
025405.09-043716.2,-23.66246254543031,-23.745250585086765,-24.2055990758,-24.317210774650437,-24.517374341265075,-20.25096068694632,-23.269549243236444,-24.951744876680497,-24.842639513652006,-25.5141686117706,-25.671398167800444,-26.45482020526807,5
025616.52-012638.1,-25.204763783409582,-25.271581968315,-25.47533236870556,-25.490377657039637,-25.57078156342604,-22.4331117854835,-25.06549569466581,-25.771986479731915,-25.961916651421063,-26.205711564149546,-27.126494889050413,-28.06780772638065,5
073843.35+391550.4,-22.53919787584343,-22.78119356641845,-23.17755511499426,-23.30313547954441,-23.580632822234996,-16.693779174690185,-20.379649591687155,-24.572020772523437,-24.60587611716757,-25.25430111477339,-25.00174986690149,-25.85763562568877,5
074358.27+323512.4,-24.883811807151705,-24.962679644882662,-25.297156846672248,-25.44279215760877,-25.629222636934795,-22.52141236031794,-24.58484154728619,-25.61931040724421,-25.625670917071663,-25.984271013223356,-27.00652916305719,-27.924289032252148,5
074653.94+391132.2,-23.488779795997758,-24.26571727199892,-24.68930398879874,-24.889949488609773,-25.17439069721409,-18.520325316576297,-22.013621500888583,-25.06593983003164,-25.05940423095916,-25.84417677930634,-25.84266160911705,-26.588386724016427,5
081155.68+444321.1,-23.751500565116537,-24.12674756995388,-24.62258204005716,-24.86648128217771,-25.152507291535237,-18.965635369287963,-23.56895149183781,-25.617699616117346,-25.541157160793368,-25.947877202376883,-26.29828397729321,-27.02459834570609,5
