SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
000011.96+000225.2,-23.254112555140654,-23.38027908532257,-23.66277885671181,-23.64302933406871,-23.845207095563588,-23.187760217832302,-23.04138179243108,-23.925772723021243,-24.393263578496896,-25.032134302376512,-25.48268869021401,-26.330524685688268,0
000026.55+264950.7,-22.2622627931975,-22.595885072272857,-23.117840267477103,-23.37573335648213,-23.760999186522,-21.44928534580094,-21.78251729806582,-24.05912129163408,-24.40565372352437,-24.667211697169588,-24.71095602816132,-25.63276984279629,0
000051.86-060855.6,-22.812028438480613,-23.072037990604358,-23.46840947539545,-23.64880043636377,-23.891003733006222,-22.464945788580994,-22.547059179277365,-24.343959907485345,-24.58217749083517,-25.33944608558179,-25.302219467583125,-25.90784155327644,0
000051.97+311151.8,-22.913004751262573,-23.22663921789489,-23.651243388107325,-23.683525176987832,-23.810211097391324,-21.99569749813676,-22.504368452040584,-24.16306745187754,-24.536423463311436,-25.227279636935084,-25.74732512801855,-26.62243333684432,0
000110.97-105247.4,-23.426116772840697,-23.637468838180283,-24.03492100653262,-24.12241279984653,-24.30318234786975,-23.4543995928678,-23.504325007428,-24.297320303909984,-24.77223610389062,-25.138357515714688,-26.119184897018183,-27.121643755152714,0
000435.75-011318.6,-22.424512488717564,-22.567675040831663,-22.90473016083881,-22.962015719563404,-23.16386750984536,-17.719630273585885,-17.287414582870905,-23.438541342622173,-23.913224377250973,-24.403652776176223,-24.95727219257818,-25.733447983514573,0
000458.79-022629.5,-22.2895487933448,-22.548049547358648,-22.80121161892024,-22.8787163547722,-23.334898441575724,-22.022428194852356,-22.20183034442669,-23.46266461654196,-23.593424962015455,-24.59596353406576,-24.705896534338752,-25.52759790892768,0
000545.61+153833.8,-23.352569361299786,-23.480724042517625,-23.803251231015143,-23.82341059701248,-24.029495017542565,-22.55628293517592,-22.882546183820526,-23.99726329958344,-24.10106696293413,-24.971285753335422,-25.60247085422448,-26.439667896199666,0
000549.60+235018.7,-23.36832490413888,-23.653231835139845,-24.043884760280257,-24.11677791328248,-24.307339318713478,-22.55395225162391,-22.93455057460722,-24.252181584059848,-24.77294360617327,-25.19100082089233,-25.857193747424525,-26.6503378638923,0
000557.23+002837.7,-21.53175004151077,-21.679911560788607,-21.93304950434887,-22.08438419616032,-22.316802098754746,-20.9011397316985,-20.90367421507733,-22.709758385111968,-23.050407616512864,-23.39056353050062,-23.727406960794497,-24.250006320241567,0
000614.52+085715.4,-23.545958260611943,-23.762987629505385,-24.318041601295267,-24.431718989475588,-24.56253603852169,-23.504800849012955,-23.34085893304459,-24.5151420711037,-24.99864369120925,-25.64459224266064,-26.466366512261143,-27.40801766775197,0
000624.49+190338.2,-22.49867445002144,-22.804796077427238,-23.155700314781267,-23.33363268813336,-23.55097846808748,-23.069327359330483,-22.718632707446798,-24.041166523017367,-24.50826479174746,-25.008786616654763,-25.27167774586899,-26.084625613794177,0
000710.01+005329.0,-22.7533906993985,-23.151113572615287,-23.597983406577782,-23.732646575640995,-24.11005516005496,-21.90348015532549,-22.402599166160925,-23.787857818800436,-24.21846217215957,-24.581070220500624,-24.99366898625495,-25.73440297717296,0
000727.05+024113.1,-22.30350221533217,-22.721444253412496,-23.4661745959275,-23.278928040332563,-23.93862121377787,-21.69244637246785,-21.876068631925467,-24.188355586056296,-24.440863890110865,-24.966909466124267,-25.314842852294632,-26.06524853577525,0
000729.30+061916.7,-22.883473169422075,-22.9226147678409,-23.101707627389303,-23.21077865921221,-23.58519000971184,-22.98902284091179,-23.08570076856897,-23.487783477873403,-23.410815423230854,-24.30081023491668,-25.130058352443136,-25.75982309407182,0
000838.65+360638.7,-23.668573124406876,-23.70259971236986,-24.0967808909757,-24.07715865574817,-24.2058113861392,-22.845065742153764,-23.20112278958892,-24.55079968446207,-24.533095206073504,-25.323025085163334,-25.82039565539244,-26.52712936710198,0
000844.62-012722.9,-22.483444698093447,-22.53196174836576,-22.81858023828029,-22.959454482391955,-23.24009402260572,-22.099772709315783,-22.20464811263749,-23.4770988720062,-24.21198198857378,-24.55991234981886,-24.81606920041996,-25.5756238686186,0
001143.32+054330.4,-22.304943108896047,-22.672145877110506,-23.017783359180847,-23.137630442443125,-23.399756339667928,-22.181844432630427,-22.199710567178187,-23.25506120650988,-24.0307985184698,-24.50323302475549,-24.872916713097272,-25.85608204534285,0
001327.31+005232.0,-22.525739683496244,-22.884896700928856,-23.308642778890118,-23.39395287703461,-23.6905070346948,-21.43843548640537,-21.902229670500464,-23.841817892567413,-24.17406859646633,-24.908385895622285,-25.35192141655021,-26.111741800430043,0
001456.05+260719.3,-22.52444176709074,-22.63215967988057,-22.875189663945243,-23.02796216825474,-23.233110905584173,-22.473921541926675,-22.72396926392553,-23.21913034974144,-24.055818347662957,-24.31159063271637,-24.786564263997093,-25.38129546484507,0
001504.34-005439.2,-23.232487565251144,-23.369473576837574,-23.65079634093468,-23.76173327698629,-23.90434817172301,-23.149736732404676,-23.044061221065977,-24.42131253554814,-24.50870109489166,-24.841799770941595,-25.4137047807516,-26.232770239796945,0
001704.50+203713.9,-22.698300105485057,-22.88518075612913,-23.29915937455488,-23.364606839136517,-23.55400143732388,-22.417258663168365,-22.44534813664387,-23.964358834921043,-24.276942896002563,-24.95043372016066,-25.455192665349667,-26.227649054356444,0
001732.40-044848.7,-22.719092566365475,-23.07971018623518,-23.528604536663725,-23.666454736788445,-23.969228107785355,-24.03753966172095,-23.458492223244782,-24.283879610660115,-24.37069353172372,-25.001666214056645,-25.41911228274837,-26.06617073512776,0
001837.92+045106.7,-22.89363622489595,-23.031375629018527,-23.204264583527888,-23.21523058786436,-23.524561156050904,-22.834044118836697,-22.79936182433956,-23.66006397191371,-23.90235245306088,-24.55469854477369,-25.150979235539584,-26.038529126172172,0
001850.28+012150.7,-21.68984887789645,-21.850780971485623,-22.19894324687913,-22.43082220085772,-22.62403412831913,-21.04611837640245,-21.09026216744324,-22.590827359731072,-23.30861711183902,-23.582628265672817,-23.88984853735853,-24.534032030396357,0
001931.45+051213.3,-23.39932549496804,-23.73798927305016,-24.06894218391274,-24.11140406792441,-24.316683581233256,-22.87507537731975,-23.346770070096557,-24.39479745838984,-24.69634643665444,-25.41556671667573,-26.452596764314407,-27.33639824218733,0
002019.22-110609.2,-23.69597307076452,-23.844078434456648,-24.15599727414852,-24.230839584705063,-24.46034118365874,-23.45680420746563,-23.28479882735514,-24.26978189713629,-24.5278122855987,-25.198648202167465,-25.759170130559927,-26.68855017114687,0
002025.06+022625.5,-23.083725923896772,-23.337392055707795,-23.78398262089997,-23.77893547015288,-23.96506625898969,-22.73076056592925,-22.938170095534375,-24.08732557138891,-24.171100836262603,-24.97884545488127,-25.570862150809024,-26.357437111583483,0
002026.46-025458.2,-22.353721188829343,-22.43238901552026,-22.672644268120163,-22.711699072982064,-23.250497745986497,-22.72512315259041,-22.791040493162846,-23.32599653640233,-23.689893787931563,-24.127149224211976,-24.634868803529308,-25.37778954142958,0
002029.37+192153.0,-23.716648713767224,-23.885661447142216,-24.19114160078361,-24.255363001933883,-24.491891008073647,-22.666888745191024,-22.64532048552485,-24.437160965729326,-24.422593803585244,-24.95390266171971,-25.199348970026133,-25.708675635811847,0
002033.19+022852.7,-21.096493837026514,-21.22750435464554,-21.5429740993466,-21.821797577257183,-21.977013940132863,-21.110528257490884,-21.06558617285042,-22.467740038460573,-23.18153378262107,-23.14554714239042,-23.073961217222383,-23.52292661046025,0
002125.76-023540.5,-22.86410149962781,-23.2130164500512,-23.70533473967997,-23.915804094815226,-24.13428747458454,-22.80928577934482,-22.82574487700604,-24.179785251201743,-24.443916623023885,-24.92593959500687,-26.094064506539365,-26.954284698916453,0
002140.57-030854.2,-22.909823906356205,-23.064924424656684,-23.319391419927527,-23.354540264501026,-23.69669927899096,-23.016850806856464,-22.91771534415058,-23.846952819535392,-24.201304179475333,-24.31536967165337,-25.103122058257263,-25.85559204918616,0
002249.22-103956.2,-23.07383158998656,-23.37473119431011,-23.77442271121068,-23.84832143644985,-24.115305351082668,-22.241353395974023,-22.41831742020945,-24.17644161947924,-24.55750473139254,-25.120953593160475,-25.41582744212552,-26.33364756125074,0
002255.13-024418.6,-24.028194687142864,-24.192704050392397,-24.41724398342886,-24.450417372491632,-24.58723397093145,-24.382790759821965,-24.22638551226634,-24.79353849403637,-24.88406399906661,-25.18745989845397,-26.04970392579499,-26.856064117427,0
002330.58+154744.9,-23.867162208895497,-23.95157747675057,-24.11340402646542,-24.0884174440795,-24.328959544338904,-23.256948682161735,-23.352824465523,-24.09403723868868,-24.396369355208677,-24.931036287993823,-25.695296441608583,-26.490736496997712,0
002332.33-011444.1,-23.83239801647476,-24.03789916913388,-24.34704435805693,-24.442683724902384,-24.62606691542084,-23.611533314703923,-23.66392996155363,-24.338090231293204,-24.67402151950085,-25.13288983558284,-25.875417525956745,-26.7085649791354,0
002354.40+093920.6,-23.38247501446796,-23.38550740864656,-23.56327836133204,-23.55414121363161,-23.817524342779915,-23.054632766284744,-23.02306884134114,-24.05117650753157,-24.819675993655437,-25.0757434818338,-25.548493639325383,-26.32929390111588,0
002402.68-024459.7,-22.11214995966797,-22.08827984872055,-22.32533469541564,-22.35418064331126,-22.663393729677512,-22.09699878227514,-21.973197920529344,-23.31750454762861,-24.06360270408693,-24.19799870664544,-24.47090180266804,-25.211642164859047,0
002439.84+180753.6,-23.16971732472684,-23.43946546485148,-23.86925266115552,-24.047229359987785,-24.19338504284056,-22.191193319296023,-22.82981361722503,-24.655391230372185,-25.097766109478865,-25.432345150940403,-25.867104632106766,-26.6657476521858,0
002444.11+003221.2,-23.57510244348857,-23.81710244902644,-24.124360709303616,-24.145960423119487,-24.510899624983075,-23.49110578347827,-23.479581947122966,-24.379286821270263,-24.642759749605144,-25.10612994614429,-25.82487054821927,-26.62449089738514,0
002500.42-031238.5,-24.25223033301897,-24.33834671069129,-24.573789335621807,-24.629358148566013,-24.75765185038425,-24.48707717490333,-24.28042989834583,-24.93098700338057,-25.18125771697525,-25.759209379659037,-26.819108452820885,-27.79301945801299,0
002611.80+333956.0,-22.873343078907997,-23.134867622082133,-23.50721913951417,-23.552028592012945,-23.79298287603566,-23.22683323981733,-22.76525982883558,-24.09193700077748,-24.688376161951307,-25.03558832395752,-25.616432907348837,-26.63827724163753,0
002639.76+254754.9,-23.709688789707887,-23.84154826033414,-24.099844038478693,-24.141068239445467,-24.31988933883853,-23.19908630304808,-23.21218236029281,-24.083800649838786,-24.41828769532921,-24.852977133537763,-25.648054154316995,-26.46199072814368,0
002736.28+320853.5,-23.04001496838551,-23.34037455109118,-23.750225208459497,-23.79089309192273,-23.989977460600088,-23.018256038791787,-22.892218906026383,-23.784254508803848,-24.320063054410586,-24.905777397894383,-25.81218522972913,-26.67086541065729,0
002749.93+070640.2,-26.9580904240282,-26.751527528430955,-27.11989885603081,-27.116914398955245,-27.40830735234781,-25.872559928015388,-26.484690425828223,-27.7022149084966,-28.187338611690777,-28.832974822873723,-29.57551105194738,-30.591778259697552,0
002930.91+101243.2,-22.411959638751945,-22.693968816379797,-23.146779933830864,-23.24839595412046,-23.592834469449,-21.172743754161846,-21.708244777640527,-23.938481037111377,-24.15209015766492,-24.94156115316336,-25.23737132638834,-25.967230075335724,0
003003.58+100248.4,-23.862916050525715,-23.956614485902563,-24.230783621490605,-24.23897276475,-24.32433062480665,-22.640779495166235,-23.59393569541784,-24.636003557573712,-25.15044202019291,-25.55758267720392,-26.30539500956188,-27.19471530080999,0
003016.33+083024.7,-21.509525506064264,-21.694608459041245,-22.0849022845665,-22.412457035533844,-22.85623248074995,-21.397287255010475,-21.57279384070651,-23.353700711950196,-24.05805205023081,-24.58656527630481,-25.23516721933805,-25.90600384256949,0
