SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
000016.43-001833.4,-23.24364145126596,-23.64149275501093,-24.16493942337125,-24.41370534905733,-24.54303254355193,-22.628809456787327,-22.750693167024703,-24.743009277263933,-24.78239300797845,-25.525749541177536,-26.076806759653127,-26.928642476760665,3
000051.09+111411.2,-24.725485659583438,-24.91478983576032,-25.303424772829484,-25.41876290826266,-25.59063543362181,-22.39325283162999,-23.86181212283897,-26.01634965853665,-25.660094250073257,-26.285363855504485,-26.732497628758924,-27.532409811961674,3
000115.18+081503.3,-23.96634332673101,-24.314537689944363,-24.8102498664814,-24.983364052513668,-25.17893524271553,-22.968683646931183,-23.774331776212307,-25.61495426836129,-25.432784192739284,-25.94826102108122,-26.39814102681693,-27.219689561340093,3
000701.32+002242.3,-24.460654475418043,-24.634651110760352,-24.97466097866182,-25.18737751565851,-25.3626744281769,-23.154217595134803,-24.48605620846648,-25.548062699827312,-25.817657034296666,-26.086018184416723,-26.937862484063047,-27.78644568488241,3
000734.61+181246.7,-24.642239633405254,-24.798658068273596,-25.145641035072376,-25.248961782120368,-25.372866611374896,-24.02257970196294,-24.271526833349192,-25.561181526288777,-25.373227645370697,-25.944294965774667,-26.460980323252105,-27.24222038367627,3
000754.68-040942.9,-23.068469826882254,-23.301357567109555,-23.50194383608501,-23.59375115367585,-23.64596372923216,-23.058928629680235,-23.05586048703387,-24.260956000489653,-24.1625769383462,-24.867303268012915,-25.37633574126401,-26.15944326040469,3
000814.35+121201.3,-24.478290213683447,-24.67395117791914,-25.103946891526316,-25.185316754501223,-25.36868942407504,-24.48876383831298,-24.37151440736069,-25.146824800578525,-25.06140508799567,-25.477876811891573,-25.97693143161703,-26.80064748862829,3
000859.26+255305.2,-23.95818134333124,-24.242631387553,-24.3145694867984,-24.668843083060697,-24.853209486902244,-23.471608953234725,-23.728260478666904,-25.02287321378589,-24.974270079469623,-25.520890771488297,-26.295285818759453,-27.110393522196187,3
000912.53+265022.9,-24.32315629114592,-24.375051242083305,-24.674163258223523,-24.67937653124587,-24.93636332716829,-23.066683269219237,-23.911292154837355,-25.20982925861818,-25.009120788231293,-25.642218914366183,-26.36401591194822,-27.297042985388437,3
001614.98+205213.5,-23.559105386499173,-23.71902272195521,-24.031621254184937,-24.025617046526207,-24.117121148870773,-23.723893255226347,-23.638485519034734,-24.654978969226963,-24.554703403634928,-25.27453915449846,-25.727194020746,-26.643527557804084,3
001753.48+191816.2,-22.871769578451048,-23.305998112153212,-23.60651555588891,-23.71540797202501,-23.499870273833668,-22.79935800174896,-23.1513194250754,-24.627115871764392,-24.655529621913587,-24.939208209258556,-25.46402313065274,-26.30682382421231,3
001859.75+061931.9,-24.459328245061787,-24.638156428800432,-24.938425931527146,-24.94855273717198,-25.0954203671646,-23.8584051545702,-24.0365685646612,-25.338378900528564,-25.04858515929932,-25.390868331956938,-26.220819375764226,-26.90566242491115,3
002310.68+184551.8,-23.682075850056687,-23.93550635284141,-24.32805160273435,-24.40247676847053,-24.59454191045904,-23.060094243364627,-23.630697861811267,-24.99294344982138,-24.994052669577755,-25.30176287479237,-25.90110383210596,-26.6213477860196,3
002312.69+072455.4,-23.279219500615078,-23.629154183956963,-24.00864818050153,-24.10480742215533,-24.27226180424896,-20.6904947380814,-22.683849518223106,-24.357916048542787,-25.04558404502762,-25.258059934463876,-26.089194331964496,-27.087416221219467,3
002422.23+042924.9,-23.70834001359109,-23.844128024967382,-24.23518653660861,-24.38328849823787,-24.549879776263044,-22.887470917682503,-23.67234299014613,-25.028820886747905,-25.092939146805527,-25.139835241005542,-26.439605796668676,-27.31030470598392,3
002818.88-035610.6,-23.102418609666103,-23.43696722216209,-23.83884212640728,-24.13620972833065,-24.405906365555136,-22.18145894150573,-22.690925680787675,-24.34811730888852,-24.53607853507856,-25.176100820250696,-26.26562855958795,-27.21016084827689,3
002909.79+034328.0,-23.879100722427182,-23.998121104950588,-24.381200107262345,-24.493656137317902,-24.696841775156333,-22.736036818169328,-23.934215261091044,-24.72027095738672,-23.58208210617037,-25.16727296083619,-25.95859354288816,-26.72770263556707,3
002933.96+323802.5,-24.5538397538725,-24.85949277755782,-25.29345565368745,-25.343621071423733,-25.508079751470685,-23.98394174763121,-24.368102080765706,-25.515579592893435,-25.32969803752081,-25.89503653566189,-26.45510975918406,-27.236756662493026,3
