SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
000133.34+052921.1,-22.569217096685744,-22.836959311754335,-23.12879454073847,-23.24332215871193,-23.192912425029224,-21.82227346315774,-22.07413840269068,-23.2126145110616,-24.475264290216668,-24.156355726145293,-24.903662525885053,-25.499566943900383,1
000151.30+184805.7,-24.245666477365663,-24.034118180091944,-24.617770432253515,-24.672230022762587,-24.825229373311004,-23.239308712774424,-24.028319888040432,-25.27502276922336,-25.49712377015893,-25.940937910762624,-26.31144577985577,-27.311872266810717,1
000453.84+104524.5,-22.70780665900789,-23.21318188951261,-23.74593389834201,-24.004556818560744,-24.24944035749612,-22.70679374745952,-22.387301751700186,-24.59186279356682,-25.07456797812813,-25.04026578090476,-25.17286823823853,-25.54379133125148,1
000555.54+042345.3,-23.22451631950747,-23.408561624335768,-23.74187789895524,-23.79481783193669,-23.94788409583672,-22.479107772197068,-23.050725545912904,-24.699961646838627,-24.888632902672608,-25.08198809993998,-25.47199165037307,-26.30134487929419,1
000652.00+061509.2,-23.271053265582488,-23.67013895958374,-24.16739005907062,-24.402085803884503,-24.662073913823452,-22.07989624724752,-22.56094937261304,-24.8027670668324,-25.31658954498069,-25.461558626054053,-25.868585863494115,-26.50603241823436,1
001008.19+260947.6,-23.599426483049125,-23.86284033813613,-24.251063903197387,-24.380500658348183,-24.540449116244364,-22.246381541977865,-23.52752246705687,-24.851759036153435,-25.046188007187787,-24.845844335642976,-25.864569438129653,-26.722384921034,1
001018.71-042937.8,-22.197986357747197,-22.402438124917463,-22.68407899764962,-22.84390618406403,-23.018350329893487,-22.45805488844263,-22.213390761958223,-23.49470744760087,-23.917845463250558,-24.09942880957253,-24.67817205075405,-25.50986112258807,1
001030.55+010006.0,-22.36021585476767,-22.858649496542448,-23.50735433255292,-23.69509166509909,-24.04595510150267,-20.972683971730223,-21.70597094898027,-23.89178893027543,-24.15356727203767,-24.27478469139657,-24.387413757775573,-24.984215383756585,1
001147.45+064625.9,-24.76919242470997,-24.87967289563424,-25.238018077727105,-25.404779165158494,-25.6121253599586,-23.86795723842783,-24.20470069363581,-25.119398328087797,-25.345343723294675,-25.79191003951352,-26.791584865294965,-27.54959398197943,1
001235.72+020326.3,-23.51222515816212,-23.822587328908885,-24.227995237979524,-24.31115480796602,-24.59623711573399,-22.540123850400068,-22.762867750156484,-24.29876388776037,-24.6161851085264,-24.98661440443574,-25.771955151406743,-26.563629818741223,1
