Z,PSFMAG_u,PSFMAG_g,PSFMAG_r,PSFMAG_i,EXTINCTION_u,EXTINCTION_g,EXTINCTION_r,EXTINCTION_i,SN_MEDIAN_ALL,DM,K_u,K_g,K_r,K_i,M_u,M_g,M_r,M_i,u_g,g_r,r_i
0.47955504059791565,17.988740921020508,17.775442123413086,17.857898712158203,17.800992965698242,0.1325726956129074,0.10329975187778473,0.07146228849887848,0.05310413986444473,28.21345329284668,42.21832238361664,-0.2253002593800257,-0.2907830862941899,0.09776420140690974,0.034694058619804534,-24.136853898829013,-24.255396925787146,-24.529650161364223,-24.505127616402646,0.11854302695813246,0.2742532355770777,-0.024522544961577353
1.0580800771713257,18.75208282470703,18.321392059326172,17.864330291748047,17.908763885498047,0.22317899763584137,0.1738995611667633,0.12030291557312012,0.08939795941114426,45.613338470458984,44.31082359210163,-0.3804656824067882,-0.38974597266604655,-0.2815865625567857,-0.09741952443420125,-25.401454082623648,-25.773585121276174,-26.285209653369915,-26.394038141580523,0.37213103865252606,0.5116245320937409,0.10882848821060875
1.5617256164550781,18.74750328063965,18.418107986450195,18.205875396728516,17.993467330932617,0.3526417016983032,0.27477604150772095,0.19008877873420715,0.14125634729862213,25.1940860748291,45.35239439091549,-0.5125299398685313,-0.5151453512406751,-0.3053530192721721,-0.3608345147495008,-26.445002872105615,-26.693917094732342,-27.031254753649012,-27.139348892531995,0.2489142226267269,0.33733765891667034,0.1080941388829828
1.9215842485427856,17.882104873657227,17.69951057434082,17.52843475341797,17.25444221496582,0.20502334833145142,0.15975280106067657,0.1105162501335144,0.08212541788816452,34.69907760620117,45.904282836907576,-0.8374718563253403,-0.6005092305116165,-0.3131305845430915,-0.38268704678522697,-27.38972945525646,-27.764015833115817,-28.17323374908003,-28.349278993044695,0.3742863778593559,0.40921791596421286,0.1760452439646656
0.95,18.48419761657715,18.28670310974121,18.08304214477539,18.099178314208984,0.11944005638360977,0.09306688606739044,0.06438323855400085,0.04784364625811577,28.562707901000977,44.022596564686765,-0.3571798209724699,-0.37959539057285974,-0.20528062366690075,-0.016433937491390545,-25.300659183520757,-25.449364950440085,-25.798657034798474,-25.954827959244504,0.1487057669193277,0.3492920843583889,0.1561709244460303
0.7717710137367249,18.381893157958984,18.00956153869629,17.891611099243164,17.907974243164062,0.21162015199661255,0.1648930013179779,0.11407221108675003,0.08476787805557251,31.101072311401367,43.46861522692552,-0.28137914901975225,-0.4079348643064407,-0.10968666503709479,0.06500887631483286,-25.016963071943398,-25.21601182524077,-25.581389673732012,-25.710417738131863,0.19904875329737237,0.3653778484912422,0.1290280643998507
0.8653861880302429,17.607309341430664,17.279582977294922,17.088993072509766,17.12563133239746,0.32065635919570923,0.24985326826572418,0.17284733057022095,0.12844409048557281,42.81793212890625,43.773491526238715,-0.32689324020668464,-0.41292374056427517,-0.15793503074632215,0.026844836667034525,-26.159945303797077,-26.330838076645243,-26.699410753552847,-26.80314912099386,0.17089277284816617,0.3685726769076041,0.10373836744101439
0.3654710352420807,18.459369659423828,18.293807983398438,18.08907699584961,18.1099853515625,0.20744387805461884,0.16163885593414307,0.1118210181593895,0.0830949991941452,27.691707611083984,41.52138311972253,-0.258817928338133,-0.19135652517209636,0.07361669771850551,0.20793127626012575,-23.010639410015187,-23.197857467086138,-23.617743839750815,-23.7024240436143,0.1872180570709503,0.41988637266467776,0.08468020386348485
1.0975334644317627,18.87408447265625,18.685901641845703,18.458574295043945,18.47760581970215,0.10791154205799103,0.08408394455909729,0.05816888064146042,0.043225713074207306,27.391538619995117,44.408825336866116,-0.40195030128172593,-0.39678092918084584,-0.2933941579461457,-0.12419543237416836,-25.24070210498613,-25.410226710398664,-25.715025764517485,-25.850249797864006,0.16952460541253345,0.3047990541188206,0.1352240333465211
0.528722,18.017580032348633,17.68096160888672,17.65233612060547,17.49793815612793,0.18282395601272583,0.13452012836933136,0.09756521135568619,0.07398074865341187,26.48800277709961,42.4720125839702,-0.22030643543208464,-0.3210030958027815,0.07445182263153703,0.0229393621695773,-24.416950072202205,-24.60456800765003,-24.991693497351953,-25.070994538665257,0.18761793544782535,0.38712548970192273,0.07930104131330395
0.517,19.36964988708496,18.763315200805664,18.60345458984375,18.384397506713867,0.15471577644348145,0.12055347859859467,0.08339834213256836,0.06197390332818031,25.980796813964844,42.41359511792247,-0.2220083075309626,-0.31457112590342895,0.08062795584108343,0.032663295609870614,-22.976652699750026,-23.456262269811972,-23.97416682605237,-24.123834810146654,0.47960957006194604,0.5179045562403992,0.1496679840942825
0.8552678227424622,18.27337074279785,17.798513412475586,17.526039123535156,17.515974044799805,0.21602213382720947,0.16832298040390015,0.11644506454467773,0.08653116226196289,33.33150863647461,43.74212411767924,-0.32298025337904257,-0.41440807432747906,-0.15282705555904155,0.032411546265598494,-25.361795255329554,-25.697525611280074,-26.17970300312972,-26.345092781406997,0.3357303559505205,0.48217739184964614,0.16538977827727663
0.137,18.01906394958496,17.761289596557617,17.507978439331055,17.095258712768555,0.1984845995903015,0.15465785562992096,0.10699158906936646,0.07950621843338013,41.73305130004883,39.12266596932653,-0.14018933653577964,-0.003157061216630158,0.2017189973223762,-0.10373751545778355,-21.161897282796094,-21.512877167182207,-21.923398116387222,-22.003175959533575,0.3509798843861134,0.41052094920501503,0.07977784314635272
