,SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,local_clustering
679,134419.43+403220.0,1.889535,-24.022194623583097,-24.420501430607555,-24.96282485349564,-25.449408625064937,-25.72085011610135,-20.287896039554223,-22.34617161907228,-26.34359010961688,-26.729840305793022,-26.55853147710226,-27.10025583413799,-27.97635724874528,2,1.0
695,134525.66+371219.4,0.96601,-23.23154673752269,-23.92650368494991,-24.397449812242787,-24.592137685993485,-24.996383437615407,-18.689566307213347,-22.025273006256764,-25.36964207238564,-25.0763943261722,-25.539331362420185,-26.096409695107337,-26.857519229292752,2,1.0
753,134931.30+345526.0,0.472996,-21.849592118866784,-22.23402899878902,-23.00571303138312,-23.252302517251888,-23.56765312430832,-21.35520859012069,-21.153381738661555,-24.042581263671316,-24.34515329098337,-24.234721349717148,-25.191890024054707,-26.030257231992117,2,1.0
969,140432.67+233519.1,1.0958,-23.28800686970584,-23.838717274751826,-24.196108989799157,-24.3922229244299,-24.78739147926113,-18.49167682097116,-22.059821799985365,-25.08370996774935,-25.6312542547637,-25.71191763902753,-26.36338125088633,-27.30662534001469,2,1.0
994,140618.83+075749.7,1.423503,-23.550722974970206,-23.96263535244271,-24.51760151367284,-24.713204646728556,-24.93530510474905,-21.01369943985038,-22.81634922118073,-25.446919937195062,-25.373909450647428,-26.20425739470753,-26.43322127157277,-27.255007222439325,2,1.0
1076,141208.04+573956.1,0.317,-21.174080298458247,-22.21670446627784,-22.95926735175533,-23.269895024638437,-23.405824833158103,-17.135081693953325,-19.3930458314505,-23.473316372059056,-24.3492242895044,-24.48122063658368,-25.363604341316023,-25.96387497608244,2,1.0
1244,142456.52+101451.2,0.765151,-22.24898715045413,-22.668883088507936,-23.31580836328855,-23.545222833065083,-23.958275553967397,-19.96779926599695,-22.319506094860863,-24.70337183085071,-24.63851737283575,-25.376926871323384,-25.171493380117216,-25.94173144250184,2,1.0
627,134009.40+271839.0,0.327,-21.334272434283577,-21.6738566518695,-22.076684071731105,-22.30996711455221,-22.47592581331712,-20.51632447701417,-21.173681341209274,-22.687366911467524,-23.79865252876968,-23.771686631186387,-24.017319071451283,-24.60840470058793,3,1.0
688,134446.09+340533.5,0.854703,-23.40534179418881,-23.503509353140807,-23.77501545256536,-23.846783907806284,-23.992536777872044,-21.77399714271248,-23.26710904996832,-24.444284886185287,-25.05456717499563,-25.45993309549144,-25.64745163042009,-26.375750727877502,3,1.0
929,140158.54+120055.7,0.381697,-22.30193929969272,-22.49961879137676,-22.833259774887345,-22.989770399978955,-23.16105130955314,-22.39226231459249,-22.11600512811019,-23.230989268457197,-23.41868903378673,-24.44503410017644,-24.58733275949303,-25.309855104255167,3,1.0
1002,140658.70+144238.3,0.2658,-23.59826759602482,-23.78126720564781,-23.88828211816914,-23.99974123198,-24.03265417596405,-23.304536779129005,-23.37131157891321,-23.752119204464247,-24.091097279748237,-24.731400296557776,-25.44720312101708,-26.207633266770756,3,1.0
1008,140716.40+330934.6,0.3088,-21.97256144328658,-22.19786981045291,-22.495901949027083,-22.66439502323807,-22.828965913717862,-21.97475259223088,-21.82835276193304,-22.795576607550505,-23.21318256637145,-24.02275495034666,-24.397274128607897,-24.932153849850582,3,1.0
1167,141925.75+380249.1,0.509573,-23.56980855668251,-23.66751227750377,-23.867264148048168,-23.90901413820044,-24.08891662418537,-23.460953911703804,-23.418259756537807,-24.256963291118527,-24.760004094602017,-25.17896004057536,-26.08851993262725,-26.92553522617354,3,1.0
1206,142238.62+143654.9,0.2413,-21.680987884574105,-21.936041292692035,-22.23428850494081,-22.35104204893834,-22.34755542876067,-21.32203038060826,-21.495843884563605,-22.56027055059118,-22.971312821513933,-23.512437131356883,-24.32837752337311,-25.017275911148573,3,1.0
1213,142252.95+042538.2,0.685494,-23.555405560641542,-23.706649742952514,-23.98435712666469,-24.10187092215073,-24.255316163244803,-23.559443863422647,-23.36024739589924,-24.467426917125454,-24.818717283894777,-25.25375268134801,-25.67355023673595,-26.50408095800312,3,1.0
