SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2
134948.39-010621.7,0.599722,-24.762888509299593,-25.110956128123657,-25.56675679907234,-25.74048594214786,-25.954210407657733,-23.722603280165828,-23.868575810363684,-25.95050627256266,-26.05573897827574,-26.11224105386666,-26.433905989509867,-27.195762351774203
135001.92+275506.1,0.695309,-24.334267343761212,-24.51109898714946,-24.849034222902354,-24.869678714905593,-24.938041243347943,-24.701289964363244,-24.467233614304437,-25.068701453586883,-25.30250484578553,-25.633959968646057,-26.103508098589046,-26.818511349224362
135014.98+051237.2,1.054706,-24.90029035072286,-25.024866938541024,-25.344131146915043,-25.492984419304992,-25.69472092768788,-22.33101203457015,-24.734055795583227,-26.083511092667,-25.84808451443908,-26.375678858001837,-26.88361352386206,-27.73216451034649
135015.03+381206.7,1.393,-24.328107405815476,-24.464111867456463,-24.874015405237685,-25.026240112402476,-25.34263696042801,-22.007736051773644,-23.86485914233746,-25.718538221365268,-26.139613620573847,-26.064506182881683,-26.270470093237368,-26.89391262531886
135015.35+362654.1,0.389535,-22.9710633403425,-23.292523441061853,-23.701447099911146,-23.755068027040473,-23.926470907612,-22.655334997136585,-22.89011561686959,-23.892859351869024,-24.26451389626065,-24.705405197899726,-25.501180881923272,-26.349533895200384
135023.68+265243.1,1.621,-25.54667516863548,-25.67934360225859,-25.93898280805595,-26.022021360890765,-26.30884615152379,-21.841941344525317,-24.866389203691526,-26.517042595279044,-26.760935833302213,-26.45753612262784,-27.091349165704248,-28.052875200198866
135031.73+084354.7,2.621,-25.029358149187683,-25.064683984504526,-25.465371068297586,-25.59875309155795,-25.84950806035069,-20.106303853450438,-21.16427365679733,-26.316359001483463,-26.574404524245615,-27.355693430016988,-26.713524432525947,-27.43906833772297
135044.88+252839.0,0.837,-24.038308256566918,-24.32851644445533,-24.746001469973052,-24.90161665771046,-25.10092298006439,-21.772542412322952,-23.850892019947363,-25.201706416253494,-25.2984912168025,-25.73868708143185,-26.09216510276698,-26.902957324636954
135045.65+233145.1,0.5286,-23.180194610353226,-23.393354417530162,-23.548730253542335,-23.618877290379086,-23.942340398550602,-22.515893135545813,-22.856212138134286,-24.090584588869362,-24.618960847054712,-25.03465747024773,-25.7987401856858,-26.56026407814526
135109.38+320049.0,1.121,-25.114405482051808,-25.26289918138213,-25.49719334767053,-25.514291784103516,-25.66245693352626,-22.420305392759655,-24.54117778025734,-25.82858425439516,-25.813745522056877,-25.79767952316675,-26.598214058034685,-27.576816256189865
135114.75+224323.7,0.84,-22.915930490641465,-23.44409121287399,-24.016735820414194,-24.328407613836085,-24.57010601998155,-19.953578089490424,-21.933613431942366,-24.76276144865851,-25.044168550431408,-25.062414071527954,-25.72992158430432,-26.610580145539096
135114.85+360505.5,2.16,-24.617917708992053,-24.77254005487308,-25.161326565424943,-25.253097269149993,-25.45662601621212,-15.538334068091444,-19.428749520931014,-26.41162731581445,-26.330497576486163,-26.479615857194307,-26.562792406182453,-27.432135755653693
135123.47+474712.1,1.953,-23.426898820393145,-24.36194961778684,-24.99431982527709,-25.24734536318628,-25.605252079002046,-18.510968423606453,-22.020098361365054,-26.336338730085995,-26.755344580015834,-26.388484310252046,-26.809763564070995,-27.747989145453396
135128.32+010338.6,1.086411,-25.006154389574178,-25.11606599220548,-25.42280712681721,-25.59400541520289,-25.800858520645892,-23.798123941971134,-24.84535497112233,-25.66819722870669,-25.881166358697225,-26.348891645695506,-26.99553670525504,-27.92656508964983
135150.48-000738.9,1.443,-25.76293222937088,-25.915770010341486,-26.161820104563947,-26.349842760581428,-26.57489615777238,-18.18147625391813,-25.341252253651916,-26.7962913593583,-27.24563606570217,-27.062644407432924,-27.740343089280927,-28.798703484888893
135151.94+394307.5,0.889798,-23.780910810346537,-24.176572079903863,-24.52203531467877,-24.62167469247031,-24.93511108653198,-21.333283442563886,-23.408367136422857,-25.061466816330274,-24.973381678993345,-25.356258648492386,-26.157027306734754,-26.75775861058854
135155.30+255831.7,1.319833,-24.60895463485784,-24.939940001181423,-25.204027541377194,-25.353688485773034,-25.600582227604182,-17.964536404496787,-19.81654208909581,-25.803871533888966,-25.974571040930755,-26.461481972523647,-26.997564996487977,-27.93515334799928
135205.17+185335.4,0.8983,-24.18806963711318,-24.222894880053687,-24.49724429720542,-24.54279075922747,-24.63110552307766,-22.02350169640266,-23.370057685493077,-24.62149291006396,-25.270767670083114,-25.52464213866628,-25.584691770914883,-26.220591401272266
135218.22+130241.6,1.602,-24.801779882447164,-24.96054020810465,-25.3189051029175,-25.516541014276584,-25.75205910582606,-23.243548291671697,-24.23825785698835,-25.49548723088153,-26.36314712843066,-26.227864138755596,-26.47665615309409,-27.13966199039669
135218.49+224708.9,1.45,-24.60756537455517,-25.15494832693059,-25.73836382422633,-25.96189142848221,-26.221384953070736,-19.05165165140243,-23.029848680894297,-26.541484876844276,-26.67436961619896,-26.755739094427774,-27.232881831467648,-28.076480581042635
135234.20+131156.4,0.906944,-24.64773584134631,-24.75362097456218,-25.044617353491656,-25.162581730103778,-25.26166491435168,-23.70472065368691,-24.245386762707767,-25.4263757431226,-25.400191328933044,-25.91729039609588,-26.151554353428665,-27.09252664916674
135236.08+253012.2,0.875779,-23.873407864075073,-24.02356629497487,-24.339280021089227,-24.377363900240606,-24.516124722826294,-21.05974687654523,-23.805293852702675,-25.297474705633686,-25.734259931456616,-25.550310174663004,-26.025015846957192,-26.937089298823977
135244.99+364549.4,1.693,-23.997545152728808,-24.659228690463316,-24.995154322594193,-25.16915002912029,-25.406722526715022,-20.98793233535952,-23.073825379390442,-26.256593424865958,-26.206054769404247,-26.47184182626207,-26.806965613889254,-27.815908927046923
135259.95+395347.7,0.873,-22.415318398949783,-23.06646678112471,-23.535037129073984,-23.756456055466874,-24.045333235230128,-19.39122268559454,-22.001485344977333,-24.97102653746804,-24.88139420677568,-25.3137939010742,-26.19100073115302,-26.963912300597837
135326.12+362049.4,0.285036,-24.300038258554125,-24.475237325538323,-24.534142422182896,-24.57800355456466,-24.743839197339437,-23.413642018915976,-23.72759997441206,-24.727443284496797,-25.01969920024373,-25.642678773446423,-26.476947825958423,-27.127729288687757
135328.24+465106.0,1.396,-23.655023279662366,-24.45166553582713,-24.78305071023407,-25.11456957156893,-25.471074411226244,-19.009622340711253,-22.348773832480685,-25.907340981623676,-26.218222741204777,-26.01405518869283,-27.14129453055375,-28.20844594861107
135328.46+194512.5,0.798,-24.110968323100494,-24.266904556098265,-24.596117253730295,-24.722750355679455,-24.880605622241283,-23.25061406730686,-23.833794693869912,-25.040407197137657,-24.95025026730965,-25.023449421051108,-26.146029146084494,-27.041062040294452
135335.92+263147.5,0.308,-23.439238248662594,-23.578996522775817,-23.71444751051624,-23.815926704972775,-24.131837879878145,-23.10163928633349,-23.272186029697377,-23.85678699360279,-24.226982588000826,-24.733709978724143,-25.0713919508079,-25.826745276447163
135353.31+470715.4,1.112906,-25.334332104303293,-25.471873216989113,-25.70378607345719,-25.79556690061492,-26.021342028690103,-23.630068929989815,-25.024761646979677,-26.080119808355747,-25.998143985949422,-26.278034186662268,-26.824570245171536,-27.81253804785187
135404.63+143702.8,1.758,-24.680024091052665,-25.100077737873,-25.36707037859329,-25.579962916119737,-25.98660361864798,-21.295895365811592,-22.787522176150514,-26.20380853575501,-26.82265464333528,-26.882966112897012,-27.2603934438018,-28.231334193176444
135419.52+611859.2,1.039493,-24.45699157375118,-24.575598586292397,-24.912527855620713,-25.064446615449004,-25.397661715949788,-23.10615226738727,-24.198490421230865,-25.673441568318776,-25.645645194795232,-26.21279407828718,-26.896147525169745,-27.824559721619064
135452.25+403602.5,1.814,-25.11741633768286,-25.48253867078186,-25.870678172765224,-25.99492664586436,-26.246279338909698,-17.749963553717873,-23.533405689123807,-26.461871790004913,-26.67117884253463,-26.97121212111681,-27.176174723906147,-28.09521226095938
135459.64+405218.2,0.472739,-23.020581435267804,-23.158694545724686,-23.493679222834228,-23.508561507805652,-23.666863017533537,-23.040893048945513,-23.05202805593562,-23.80194810149077,-24.308780899854533,-24.86605524623114,-25.06668412798242,-25.95637910537871
135506.26+292550.3,2.32,-25.21173947228819,-25.161893003102765,-25.673066938901115,-25.718216380983968,-25.89322529067296,-22.969427783602736,-23.90549771192903,-26.34630540813541,-26.580856377255316,-26.956163680013585,-26.8717147299265,-27.5981320728026
135513.34+314557.4,1.623,-24.925990350579593,-25.299688770553214,-25.652074074125984,-25.774907200531352,-26.031283288100127,-18.50650225490328,-23.38738595752945,-26.228188363394832,-26.326010159280386,-26.256234332402173,-27.192333086772415,-28.002794549469034
135518.03+451135.5,1.583,-24.57628428202811,-24.827971458097803,-25.137479792454705,-25.279121636729048,-25.52081795681744,-22.781721755667554,-24.13135485008072,-25.49926626321474,-25.738499492719434,-25.661015138139984,-26.384096123305053,-27.391849384412357
135520.97+385058.2,0.840221,-24.15628677116161,-24.296637302341615,-24.61898942879791,-24.595489172904067,-24.732402207090132,-22.870053376600254,-23.938539212011506,-24.52188924088633,-24.936911647132785,-25.254052054041896,-25.93282828137468,-26.610216336962846
135529.06+352332.1,0.31478,-23.275456391643335,-23.46869345870328,-23.593252979558283,-23.668621064798963,-23.83927989472092,-22.56800919526169,-22.552271175231603,-23.421867557635593,-23.520320102564188,-23.77990434295982,-24.59919537912277,-25.23937331859146
135530.35+250853.3,2.57,-24.503564106539766,-24.8774757310198,-25.545644899721857,-25.84945178061133,-26.202541452355206,-19.00756561015946,-17.832219085891683,-26.763023273944224,-27.011066069183173,-27.475221030843084,-27.140656051464184,-27.308756741988116
135534.82+395910.1,0.503968,-23.1818904843468,-23.394232771607864,-23.615028923806015,-23.659117949656906,-23.838882477611598,-22.697525014125755,-23.068819956962155,-23.95548454028693,-24.305893115140925,-24.732915860468804,-25.275183566146588,-26.12874893500345
135535.47+155750.0,0.6847,-25.126988310075546,-25.427342880291086,-25.869007489494464,-26.065739869684528,-26.20409092974836,-24.836698608530245,-25.01106300639002,-26.352339564651263,-26.257808393861648,-26.706497580988266,-27.40014843564197,-28.16903107435812
135547.13+381217.8,1.258,-24.339166624701182,-24.425581199699145,-24.798551820572683,-24.93034931027821,-25.08452006513319,-20.49165551174902,-23.945116631012485,-25.710727518432268,-25.46570859298779,-25.907841597021804,-26.174041495609607,-26.91774984647994
135548.65+391705.7,0.473569,-21.992094959111938,-22.242545095969955,-22.7864252547747,-22.867163631602256,-23.111375630351574,-20.032855800664453,-20.91464396725287,-23.085133703175497,-23.80106229598027,-24.02894245367288,-24.48314429948625,-25.194646454368776
135550.20+204614.5,0.1962,-23.28363559902118,-23.62300427638159,-24.051145885220517,-24.218158640057627,-24.167999672081592,-16.118664185930495,-15.103298185502673,-24.313803619470054,-24.90668717156686,-25.565049971097718,-26.347010017535396,-26.886606161106524
135559.35+334658.3,0.8349,-23.32383720154481,-23.54938717853486,-23.820970095298172,-23.840750716973687,-24.009092726332927,-23.07845735693604,-23.48567207743532,-24.778950151850314,-25.13798225549611,-24.99522571785038,-25.74009983947845,-26.46131753442892
135559.88+260039.0,0.851,-24.90625624637474,-25.164682430498722,-25.534438083948814,-25.68387502093193,-25.892491838925498,-24.07572291936319,-24.792287473553206,-26.169495281362227,-25.970858667828708,-26.288057038606958,-26.865148451114543,-27.677707371072177
135607.37+413615.3,0.696,-24.48753590548114,-24.793325344302637,-25.116694099169163,-25.194888850290198,-25.300180234204795,-24.322186106806576,-24.47770790908839,-25.769112102888872,-25.81055817930376,-25.963555960601823,-26.429985425137527,-27.219809936169916
135615.47+133258.6,1.843,-24.898396116158423,-25.084123370787058,-25.40183380483804,-25.574176771329554,-25.839495498186675,-18.997781939774093,-24.021385146663604,-26.00155206518849,-26.48334808188762,-26.03291888875679,-26.742885538338246,-27.53275850400262
135625.55+251523.7,0.164,-22.809544077127356,-22.918851287046934,-23.16498531634139,-23.405910367640725,-23.216792888087465,-22.04314942675076,-22.342293111176456,-23.46607124723013,-23.899881299008644,-24.49556468433879,-25.04858880264426,-25.50204587111045
135632.79+210352.3,0.3009,-23.487113282132256,-23.571085915902053,-23.722471203213733,-23.820633997529583,-24.03531782800817,-23.20902679245666,-23.23193031726425,-23.70375695582317,-24.323902986502098,-24.770306996331175,-25.580160859947288,-26.235128152793237
135640.54+472419.7,1.518,-24.92933050016336,-25.145149318515763,-25.4727439879556,-25.590206200599244,-25.874608230949374,-18.257244828596164,-23.704290512448072,-26.264816710712623,-26.534492623040002,-26.475560469898003,-26.817869985040026,-27.79918990277458
135648.41+072823.3,1.052,-24.975242594217168,-25.640003207018893,-26.05355273601575,-26.236402239724118,-26.63733699111462,-21.002321353095464,-24.364128541709572,-27.02193740370003,-27.041517812851087,-27.200878662424465,-27.661702639986984,-28.420418893668447
135700.96+083709.8,0.445,-22.9440088229327,-23.157050909546687,-23.47528252699974,-23.519739323063067,-23.807285340551626,-23.03616763563537,-22.91726702646549,-22.813814706026147,-24.048994427787594,-24.705422214607285,-24.898133323936833,-25.63316775572625
135708.72+201936.1,0.3388,-22.9084681199484,-23.158291369347413,-23.229593982929007,-23.413492884195218,-23.617182160867472,-22.44130713522456,-22.435862204791082,-23.682110074570737,-24.31905191062725,-24.247484847946904,-24.412777895283295,-25.030004402707725
135718.20+284736.0,2.012,-23.777296558592173,-24.45123385809312,-24.934937393915376,-25.29646851464959,-25.23871873416231,-21.507367796487017,-22.418498526518473,-26.00077802004857,-26.416362663503207,-26.407062137663097,-24.826344232689884,-27.60832337203679
135726.27+043541.4,1.234529,-25.29900572333094,-25.422913266400613,-25.732612569996554,-25.926431726473286,-26.165901595842556,-18.25896758282403,-19.265529059789007,-26.45268252413394,-26.36318875832646,-26.58777797420716,-27.089775747719667,-28.019858703196714
135729.09-024738.0,0.600586,-24.149530651070386,-24.312837753396725,-24.559520757619563,-24.599211801323648,-24.755079727129658,-24.56166060653617,-24.215426620236013,-24.716544004252448,-24.688354579225972,-25.219350701597406,-26.013333310095852,-26.893950911320463
135733.90+203146.6,0.378,-22.07978379194597,-22.23651411001259,-22.637106570451575,-22.822979104903,-23.030594522275543,-21.4454596534361,-21.89706204453796,-23.478868410050936,-23.504618050783133,-24.42981847030116,-25.169833627719445,-25.81773304592892
135748.39+080158.4,1.714,-24.643121279904893,-24.89038624755739,-25.234060145126648,-25.352846350476245,-25.58664817964905,-22.649595743548684,-24.2465058722726,-26.2325958741587,-26.580130942880405,-26.34869408073089,-27.246390284467363,-28.205038471298487
135750.63+441548.6,0.874843,-24.241845491101376,-24.442405272952065,-24.780563461057998,-24.928259838129524,-25.281978074029542,-23.237650550021673,-24.08311423078604,-25.350194067101537,-25.426178183142873,-25.721916110557455,-26.366986532466594,-27.108552654324917
135757.34+162010.1,0.962,-24.10309020170956,-24.33812645641564,-24.762928119393035,-24.96237199312605,-25.105157682842837,-20.06074143322779,-23.779066321595824,-25.46837959990686,-25.31368425734167,-25.64016928400099,-25.98455126903269,-26.824671698547924
135800.40+404358.1,0.544867,-22.436040956603538,-22.704560010736074,-23.0019472866588,-23.15442544426357,-23.375146867244947,-22.411351142222927,-22.461522806296273,-23.323452862542208,-23.960637333903183,-24.47678088129695,-24.947067286870105,-25.781579701146722
135803.86+340254.1,0.54131,-23.02879808000908,-23.29410005623468,-23.640612051615797,-23.70075110535269,-23.834009577054093,-23.44570577553089,-22.95726041000974,-23.914389654755983,-24.332287169340205,-24.987838787480765,-25.688398285150203,-26.64042205156625
135809.48+114557.6,1.484,-24.194017528873513,-24.417788567545664,-25.03071311401994,-25.252530871264995,-25.520591868755538,-17.136527239055795,-22.853613773135287,-25.98375987893667,-26.629046955450256,-26.355805648025047,-26.570703220449634,-27.342452281753676
135817.59+575204.5,1.372006,-25.56950831474713,-25.608291364921154,-26.04740355274611,-26.144022517030383,-26.3539815478638,-23.01724703704919,-24.969470948723657,-26.546298477169962,-26.930080403197273,-26.748104148411223,-27.29050132018073,-28.113605499224526
135823.98+021343.8,0.955699,-26.359211193685702,-26.43532169491468,-26.695560648787716,-26.827209447480282,-27.037180708033436,-18.512728950324096,-16.84702880996324,-27.092705050549643,-26.92411162556738,-27.198561739431124,-27.673243192935743,-28.5532880021607
135828.00+481446.8,1.404,-25.142102477305308,-25.202409484770754,-25.468351751665892,-25.566488596124408,-25.785735087716763,-23.53681256564353,-24.930393156431883,-26.0243784396551,-26.300437541468256,-26.254022136688256,-26.601572082043713,-27.544015517333378
135836.38+122836.5,0.358,-20.75079011120107,-21.743920315158324,-22.548310774734755,-22.851182085473685,-22.93477353316888,-19.29664778691354,-19.467066732375496,-23.62746889772314,-24.107518626258415,-24.505221562560312,-25.054409058521745,-25.7774489670244
135838.41-020423.9,1.753167,-24.883149720366482,-25.218042698324126,-25.553116882693118,-25.73573472424306,-25.918291218115353,-21.731668807397877,-24.600292686807105,-26.052159804521768,-26.681603938672964,-27.37911117912768,-26.745914542095267,-27.643265830781367
135845.38+265808.4,0.331,-21.109779210609585,-21.95958941609598,-22.61092433379282,-22.789447800706263,-23.115960202734072,-16.015763907205418,-19.991482066225153,-22.900913664780017,-23.92885533920557,-24.431060360652207,-24.975587526062803,-25.672579944734608
135850.03+390413.4,0.808,-24.426527002436167,-24.61284648332002,-24.9249708704362,-25.033388864999672,-25.168218075679754,-23.708563762455185,-24.243443488124512,-25.4548807627253,-25.45939187391209,-25.695830870829237,-26.320515549677616,-27.17281377497976
135908.35+305830.8,2.29,-25.392850919684612,-25.418222525314484,-25.869256643343633,-26.008289123351805,-26.28795021021997,-21.574606034603093,-22.04808077005531,-26.818981236715846,-27.172005325063424,-27.426983832431716,-27.360583368486875,-28.29752185369727
135919.95+271622.6,1.407,-25.230780661095558,-25.383308835608737,-25.73961183273806,-25.891944698183163,-26.120911417290955,-20.101993463779095,-25.199998672998223,-26.152033104886296,-26.548352633838917,-26.720096686758435,-27.100309412812678,-27.905112436577774
135925.82+354640.2,0.61984,-24.179818494096526,-24.309632216304614,-24.727564015691154,-24.828787738130128,-25.06213135480455,-23.351337997677557,-24.102091952532902,-24.824709638761597,-24.805993706828506,-25.291442727917783,-25.610034754163213,-26.42494391061286
135950.25+204703.4,1.447,-24.941497315033505,-25.03819103627325,-25.563481972961064,-25.70476646527569,-25.938784370932154,-19.525009275238162,-18.748268124211975,-26.266726388184413,-26.98324736062778,-26.5302887730999,-27.214753679799685,-28.077972402796618
135954.85+225223.6,0.324,-22.39301067205626,-22.492460809952522,-22.803559029867397,-22.989335387895267,-23.179458122596305,-21.153035948855912,-21.37477719538644,-23.23159738294581,-23.831573948069597,-24.597216817037978,-25.068091995946265,-25.699617705962307
135955.65+504539.5,0.366059,-22.544783448213863,-22.773414928355574,-23.171233441925832,-23.189438223594383,-23.333724645045923,-22.245656660991816,-22.333795812403846,-23.530526230953654,-24.042567580935042,-24.475918216847514,-25.134350176609942,-25.835618114667685
140008.54+364836.7,1.464521,-24.742961938861516,-25.051442907240034,-25.404218936295962,-25.631092933372717,-25.986240778033252,-21.904794953825252,-23.861673431555477,-26.359103739507134,-26.602015177849403,-26.577875142010416,-27.161955612655728,-28.025980352088553
140012.56+353930.7,0.518139,-22.740851421305877,-23.1518256108592,-23.643541622228405,-23.866924702198,-24.063362167136013,-21.399545768171564,-22.19778820432132,-23.921369595644688,-24.51315931940664,-25.054800740882477,-25.7366012084221,-26.873703305037377
140031.96+040457.6,0.428109,-24.399283209211188,-24.57768264267339,-24.949346750843148,-24.973958464800976,-25.2067400739635,-24.8467514344091,-24.742581373315844,-25.220069908743874,-25.54947302098692,-26.252750852072886,-27.10058891610428,-27.982730739270863
140034.63+313808.5,1.1835,-25.292555387981363,-25.374398840883593,-25.64568702496204,-25.747226367845055,-25.93807000361916,-24.319079996762607,-25.257844013407897,-26.180361022808967,-26.14724850254641,-26.42503834153301,-27.143134079888668,-28.079954662029692
140035.91+553534.4,0.840692,-25.198707939633707,-25.326835602892476,-25.72726676326267,-25.9041187890314,-26.032065675482134,-24.24684135541474,-24.895379273033605,-26.126269567804744,-26.240403438951297,-26.67738906663045,-27.362267678189742,-28.274500714128358
140039.00+112022.4,2.589,-25.688123562477326,-25.82125773622652,-26.28919480526702,-26.436759923212158,-26.652408065575937,-22.635126803917164,-23.12644007703823,-26.65766647947255,-27.448924149987494,-27.51197899417171,-27.528386426395365,-28.24196898932266
140048.04+482719.9,1.406147,-24.608616704196418,-24.945291787867284,-25.29154100089056,-25.404213100560263,-25.640691897803638,-20.466654950796496,-24.6053700501904,-25.685248802127283,-26.162984133751866,-26.435784788836216,-26.66287608881372,-27.662147268633376
140050.22+532424.5,0.174773,-21.539558530832327,-21.74599816149861,-22.090269681745156,-22.250961551500215,-22.120706279353186,-20.99775531905647,-21.674473099544638,-22.450326520463427,-22.834716018323718,-23.384856724087015,-24.22470884618162,-24.623446367394127
140051.79+463530.0,1.968,-24.91336671849132,-25.086794714850843,-25.403260862410253,-25.596793753348603,-25.858238445504288,-20.017222583058622,-23.195187412556127,-26.33389825817654,-26.638628083910305,-27.146228811885887,-26.859192876567704,-27.45816131625521
140104.87+004332.6,0.666679,-24.19959767044242,-24.404983147702954,-24.75817009005805,-24.97925041438355,-25.16906885286133,-23.923859340479943,-24.308952038043472,-25.28681987529456,-25.576334581186632,-26.017901809011367,-26.598806460343383,-27.416054960574165
140109.13+015220.2,1.76,-24.390977240316026,-24.98181809433257,-25.43453879972594,-25.57397134026003,-25.892039901862123,-20.845419492724652,-22.229985380205328,-26.761312026961505,-26.631712000141967,-26.375732295413883,-27.028593851316998,-28.007765141364562
140119.10-031547.2,0.782946,-24.158212615497366,-24.352552268792877,-24.718808744039496,-24.89433729164777,-25.023104195370014,-23.070763039359672,-23.575891048761545,-25.1235888464107,-25.36800301919079,-25.864819602393048,-26.237776051705616,-27.107341597486016
140130.17+352942.4,1.025701,-23.92489057757877,-24.240752754925847,-24.71923234843142,-24.937013033803286,-25.12271616685512,-22.653033750394012,-23.645986562670707,-25.70575628324691,-25.546892130335422,-25.987622895346412,-25.939121797228452,-26.703409551178034
140147.02+232413.2,0.2156,-21.619611609409294,-21.9554406671552,-22.321901417948148,-22.554319609274685,-22.554867596230068,-20.62400643105915,-20.921771170314415,-22.91061486412062,-23.22699458075866,-23.566389791760308,-23.84191173622589,-24.172555795479788
140147.38+155056.6,0.7272,-24.13667951001622,-24.162791175352606,-24.441085778893598,-24.637848144397452,-24.647648353141523,-24.347119083588947,-24.00120317668596,-24.649745370348302,-24.95607548842796,-25.37642903330271,-25.882041971752848,-26.83027257866282
140157.48+155815.4,0.7032,-23.04974892665948,-23.21652938792212,-23.793169446802214,-23.960022510698856,-24.154884935466995,-21.896341226447923,-22.88528834312173,-23.985653799416493,-24.18204717212935,-24.872521703348685,-25.902160593520318,-26.83594906735516
140223.20+595924.7,1.095,-24.48126523601616,-24.60491929092794,-24.91391623755603,-25.06983624750773,-25.225358916726265,-23.222535684810698,-24.390122604057716,-25.733509929699135,-25.644467319232348,-26.170264257759598,-25.970920556817564,-26.896456784969185
140224.05+535517.1,1.427366,-24.78435890368243,-24.83439776229574,-25.14330395155897,-25.281164229647793,-25.52932612076903,-23.047871457209265,-24.40847188137239,-25.783131676118863,-25.912539167001626,-25.97468866458817,-26.32988680982303,-27.341061098736752
140229.22-015800.0,2.84,-24.71054053806718,-24.83259555321826,-25.188843903257208,-25.30690675545405,-25.652876717439653,-21.502371978696594,-22.353301336054287,-26.2760665890779,-26.80576219194897,-27.401455695247094,-27.342737040907053,-27.732841250539288
140230.53+074102.5,0.6631,-24.00299395495742,-24.17779303549831,-24.573936082544027,-24.722648451338145,-24.84257006452122,-23.985996177074046,-23.95703037300032,-24.89113789509433,-24.959610066350844,-25.767648787922834,-26.578703606338046,-27.491871564930676
140232.55+020939.7,1.374,-24.555803013763594,-24.729800123562534,-24.967054342911194,-25.06149904099924,-25.385881290607074,-18.854428961231832,-17.69266031175904,-25.917690980946425,-26.05784432447646,-26.776114891780534,-26.39090611484556,-27.399939463216548
140234.44+215951.6,0.066,-20.286525798506965,-20.769304690164667,-21.193812422535427,-21.23559285005711,-21.297412224575233,-18.30517029813649,-19.36231935963866,-22.03758480509289,-22.43569343261065,-22.948021809059764,-23.529080769853287,-23.92110207815474
140242.42+334313.1,0.863672,-23.868337701734934,-24.024539853427342,-24.332151725139692,-24.413889033886587,-24.565841642363093,-23.31465131175657,-23.85150580625937,-24.810270519110624,-25.217305869523123,-25.40151220878611,-26.18000923572912,-27.024648925914885
140251.19+263117.5,0.1875,-22.121258297716512,-22.40396737649796,-22.882631942078337,-23.230339564093438,-23.16735136179778,-20.91053326201762,-21.555661639701576,-23.856742142160645,-24.48858604882257,-25.057746357849528,-25.77422951481756,-26.11722464081106
140302.30+332003.4,0.3417,-23.73694280120025,-23.929005903107672,-24.21794913827316,-24.220070818967333,-24.482202108665682,-23.680840523496794,-23.56738736322465,-24.32220741378102,-24.72280397524558,-25.273337223014476,-25.935580311718308,-26.734450510257805
140314.15+345217.2,2.16,-24.535646292943813,-24.61311816593528,-25.022949781827343,-25.22408883214836,-25.501794122258605,-17.748477723173686,-22.749289581156393,-26.168666141114112,-26.670522381538724,-26.752632357946666,-26.74440211250737,-27.693744383498064
140320.70+101109.1,0.572419,-23.74397424826878,-24.07966371985479,-24.40617856110045,-24.51778782508117,-24.757824687415575,-22.82416142596226,-23.623512695053584,-25.154340847415444,-25.527788771094745,-25.67931615297072,-25.794688646033787,-26.667483215971977
140323.64+242757.8,1.78206,-24.979684777357505,-25.13163593329052,-25.380848435317066,-25.52349411974322,-25.762112373304827,-23.331265267412313,-24.170585634512094,-26.149856468384495,-26.58260138962497,-26.74666645968862,-26.612047792726138,-27.563344286481257
140326.91+561307.4,1.075978,-24.87324798265359,-25.063392224000367,-25.43455345413827,-25.630279819368717,-25.79604046811773,-22.723120072590216,-24.14898860430357,-26.723858409111493,-26.780198843484012,-26.65060917264061,-26.47904149235011,-27.101994297522687
140331.29+462804.8,0.459147,-23.544000990925166,-23.722589366468995,-24.04421147496638,-24.122403663075186,-24.38698354198996,-22.936494345046636,-23.05977342395106,-24.16127598391239,-24.69425735654355,-25.382497158931212,-26.346724693663322,-27.189152766575436
140334.97+554406.3,1.54511,-25.088951535306382,-25.239911920006364,-25.604405089028294,-25.716055008699307,-25.948641974843753,-20.357452361811756,-23.636168667550447,-26.243538374744343,-26.477094565674825,-26.59712807283886,-26.939626968181432,-27.803006661390494
140336.43+174136.1,0.2223,-22.886753785197833,-23.02359532713872,-23.400276248670696,-23.54081943728523,-23.507952083161097,-21.52610615380729,-22.492646375550432,-24.008501074166634,-24.44779134520573,-24.79941862308382,-25.57841418803103,-25.975793522634337
140338.83+604809.4,1.704,-24.184608912687278,-25.14860024070694,-25.88813411824183,-26.00254417412981,-26.207904509567026,-21.789204177054224,-23.495511422808853,-26.49030735607714,-26.797495913816995,-26.904170857553577,-26.90713997561923,-27.694775680644426
140340.92+224004.3,2.703,-24.728020045626035,-25.001191112485028,-25.463628449779854,-25.56561537188805,-25.865096797504894,-19.326078365111446,-19.029354049235554,-26.417735007742888,-26.83641442364018,-27.265591054229883,-26.86638318167718,-27.334393194910852
140342.68+224427.0,1.6793,-24.36403894809762,-24.578699923354414,-24.96760157500621,-25.147592249143095,-25.3364913761984,-21.486483976898327,-23.73322275925784,-25.474477032177102,-26.1860023136997,-26.43404161744842,-26.523090071158993,-27.469895794422246
140356.14+080731.6,0.5916,-24.093872042060273,-24.30531538751616,-24.555579128898113,-24.687251025333502,-24.860506229038688,-23.87914788523478,-23.834845400607595,-24.831534125462436,-25.27681749458648,-25.844323539739047,-26.626833392948228,-27.500431797120807
