Z,PSFMAG_u,PSFMAG_g,PSFMAG_r,PSFMAG_i,EXTINCTION_u,EXTINCTION_g,EXTINCTION_r,EXTINCTION_i,SN_MEDIAN_ALL,DM,K_u,K_g,K_r,K_i,M_u,M_g,M_r,M_i,u_g,g_r,r_i,comm
0.4795550405979156,17.988740921020508,17.775442123413086,17.857898712158203,17.800992965698242,0.1325726956129074,0.1032997518777847,0.0714622884988784,0.0531041398644447,28.21345329284668,42.21832238361664,-0.2253002593800257,-0.2907830862941899,0.0977642014069097,0.0346940586198045,-24.136853898829013,-24.255396925787142,-24.529650161364223,-24.50512761640265,0.1185430269581324,0.2742532355770777,-0.0245225449615773,18
0.95,18.48419761657715,18.28670310974121,18.08304214477539,18.099178314208984,0.1194400563836097,0.0930668860673904,0.0643832385540008,0.0478436462581157,28.562707901000977,44.022596564686765,-0.3571798209724699,-0.3795953905728597,-0.2052806236669007,-0.0164339374913905,-25.30065918352076,-25.449364950440085,-25.798657034798477,-25.954827959244504,0.1487057669193277,0.3492920843583889,0.1561709244460303,21
0.7717710137367249,18.381893157958984,18.00956153869629,17.891611099243164,17.907974243164062,0.2116201519966125,0.1648930013179779,0.11407221108675,0.0847678780555725,31.101072311401367,43.46861522692552,-0.2813791490197522,-0.4079348643064407,-0.1096866650370947,0.0650088763148328,-25.0169630719434,-25.21601182524077,-25.58138967373201,-25.710417738131863,0.1990487532973723,0.3653778484912422,0.1290280643998507,21
0.8653861880302429,17.607309341430664,17.279582977294922,17.088993072509766,17.12563133239746,0.3206563591957092,0.2498532682657241,0.1728473305702209,0.1284440904855728,42.81793212890625,43.77349152623872,-0.3268932402066846,-0.4129237405642751,-0.1579350307463221,0.0268448366670345,-26.15994530379708,-26.330838076645243,-26.699410753552847,-26.80314912099386,0.1708927728481661,0.3685726769076041,0.1037383674410143,3
0.3654710352420807,18.459369659423828,18.29380798339844,18.08907699584961,18.1099853515625,0.2074438780546188,0.161638855934143,0.1118210181593895,0.0830949991941452,27.691707611083984,41.52138311972253,-0.258817928338133,-0.1913565251720963,0.0736166977185055,0.2079312762601257,-23.010639410015187,-23.197857467086138,-23.617743839750812,-23.7024240436143,0.1872180570709503,0.4198863726646777,0.0846802038634848,0
0.528722,18.017580032348636,17.68096160888672,17.65233612060547,17.49793815612793,0.1828239560127258,0.1345201283693313,0.0975652113556861,0.0739807486534118,26.48800277709961,42.4720125839702,-0.2203064354320846,-0.3210030958027815,0.074451822631537,0.0229393621695773,-24.416950072202205,-24.60456800765003,-24.991693497351957,-25.070994538665257,0.1876179354478253,0.3871254897019227,0.0793010413133039,18
0.517,19.36964988708496,18.763315200805664,18.60345458984375,18.384397506713867,0.1547157764434814,0.1205534785985946,0.0833983421325683,0.0619739033281803,25.980796813964844,42.41359511792247,-0.2220083075309626,-0.3145711259034289,0.0806279558410834,0.0326632956098706,-22.976652699750023,-23.45626226981197,-23.97416682605237,-24.12383481014665,0.479609570061946,0.5179045562403992,0.1496679840942825,6
0.8552678227424622,18.27337074279785,17.798513412475586,17.526039123535156,17.515974044799805,0.2160221338272094,0.1683229804039001,0.1164450645446777,0.0865311622619628,33.33150863647461,43.74212411767924,-0.3229802533790425,-0.414408074327479,-0.1528270555590415,0.0324115462655984,-25.361795255329557,-25.697525611280074,-26.17970300312972,-26.345092781407,0.3357303559505205,0.4821773918496461,0.1653897782772766,3
0.137,18.01906394958496,17.761289596557617,17.507978439331055,17.095258712768555,0.1984845995903015,0.1546578556299209,0.1069915890693664,0.0795062184333801,41.73305130004883,39.12266596932653,-0.1401893365357796,-0.0031570612166301,0.2017189973223762,-0.1037375154577835,-21.16189728279609,-21.512877167182207,-21.923398116387222,-22.00317595953357,0.3509798843861134,0.410520949205015,0.0797778431463527,8
0.2755179107189178,19.138803482055664,19.090076446533203,18.779008865356445,18.62382698059082,0.2456175833940506,0.1913835555315017,0.1323982626199722,0.0983860939741134,25.57984733581543,40.8119296208405,-0.252993879933521,-0.1062056730671478,0.0572077245841996,0.2367579546956393,-21.66574984224537,-21.807031056771653,-22.222526742688228,-22.52324668891944,0.141281214526284,0.415495685916575,0.300719946231208,9
0.2503526210784912,17.433496475219727,17.28778076171875,17.118759155273438,17.032182693481445,0.1985439211130142,0.1547040790319442,0.1070235669612884,0.0795299783349037,53.76931381225586,40.57502055537006,-0.236031875868022,-0.0815654997627119,0.0765336468438372,0.1247940249559184,-23.104036125395325,-23.360378372920543,-23.63981861390175,-23.74716186517944,0.2563422475252181,0.2794402409812058,0.1073432512776868,0
0.4760024845600128,17.395410537719727,17.193756103515625,17.37114906311035,17.305198669433594,0.2507030963897705,0.1953461617231369,0.1351395696401596,0.1004231870174408,34.40648651123047,42.19906408552921,-0.2254115447519993,-0.288290617772391,0.098909615204058,0.0363920847070063,-24.828945099447253,-24.91236352596433,-25.061964207263077,-25.030680687820063,0.0834184265170776,0.1496006812987431,-0.0312835194430114,10
0.921844244003296,18.032793045043945,18.18217086791992,17.774267196655273,17.897682189941406,0.1352908015251159,0.105417676270008,0.0729274600744247,0.054192915558815,35.274837493896484,43.94220339685011,-0.3481400775267546,-0.3881928787048493,-0.1884116064272286,0.003304353482489,-25.696561075804528,-25.477257326495348,-26.052452053842035,-26.102018475950008,-0.21930374930918,0.5751947273466875,0.0495664221079721,11
0.2152459323406219,18.65887260437012,18.336408615112305,17.87149429321289,17.547748565673828,0.2998005151748657,0.2336025387048721,0.1616051495075225,0.1200899481773376,26.800052642822266,40.2049290324386,-0.2109275800104944,-0.0566685033784022,0.1078532385123245,-0.0218368905980474,-21.634929363232853,-22.045454452652763,-22.602893127245554,-22.75543352434406,0.4105250894199095,0.5574386745927917,0.1525403970985053,19
0.97232848405838,17.3348331451416,17.246135711669922,17.071731567382812,17.196847915649414,0.0982345417141914,0.0765436887741088,0.0529525689780712,0.0393494330346584,42.34006881713867,44.08470456126905,-0.3623812458759118,-0.3783096775215443,-0.2216039728888836,-0.03176283070371,-26.485724711965727,-26.536802860851694,-26.844321589975426,-26.895443247950585,0.051078148885967,0.307518729123732,0.0511216579751589,2
0.1485025882720947,19.033153533935547,18.680191040039062,18.11406898498535,17.69043731689453,0.2448514252901077,0.1907865703105926,0.1319852620363235,0.0980791971087455,27.375015258789062,39.31330564998845,-0.1527814796684435,-0.0108590493214619,0.1812780282209389,-0.0810642531869023,-20.372222061674567,-20.81304213093852,-21.51249995526036,-21.639883277015763,0.4408200692639532,0.6994578243218399,0.1273833217554028,19
0.8141379952430725,18.799610137939453,18.500606536865234,18.34295463562012,18.233522415161133,0.2164359390735626,0.1686454117298126,0.1166681200265884,0.0866969153285026,32.5662956237793,43.610793418167376,-0.3042613766204854,-0.414072061374527,-0.1337821982497818,0.0510575739637252,-24.723357842681,-24.864760231657428,-25.250724704324064,-25.51502549229847,0.1414023889764273,0.385964472666636,0.2643007879744061,15
0.9858587980270386,18.921409606933597,18.71577835083008,18.441137313842773,18.355283737182617,0.1156647801399231,0.0901252180337905,0.0623482055962085,0.0463313981890678,25.85774040222168,44.121660565899774,-0.3647473630820042,-0.3789964741248924,-0.2327216142504074,-0.0433554813834204,-24.9511683760241,-25.117010958978597,-25.5101498434028,-25.7693527455228,0.1658425829544931,0.3931388844242072,0.2592029021200019,15
0.2374161332845688,18.86270904541016,18.776758193969727,18.43046760559082,18.05171203613281,0.0853029936552047,0.0664675161242485,0.0459819175302982,0.0341694951057434,27.267765045166016,40.44456247153962,-0.2264156943132919,-0.0712158289699013,0.087815779416254,0.0338776033407889,-21.44074072547137,-21.66305596472424,-22.14789256289535,-22.460897533853338,0.2223152392528646,0.4848365981711104,0.3130049709579872,9
0.7647488713264465,18.970149993896484,18.14636993408203,17.70062828063965,17.59710693359375,0.5304295420646667,0.4133071005344391,0.2859239280223846,0.2124721258878708,32.586265563964844,43.44432438349408,-0.2772078429780775,-0.4061962089425729,-0.1047389986210197,0.0683431449375528,-24.72739608868418,-25.305065341003917,-25.924881032255797,-26.128032720725752,0.5776692523197333,0.6198156912518797,0.2031516884699584,15
0.2338018864393234,17.021013259887695,17.12948989868164,17.124208450317383,16.84383773803711,0.0949220359325409,0.0739626064896583,0.0511669889092445,0.0380225554108619,39.58257293701172,40.40694373139268,-0.2237819832086841,-0.0686868019115537,0.0910693156626325,0.0168936665098612,-23.25707052422884,-23.282729637289144,-23.42497158564717,-23.61802221527629,0.0256591130603034,0.1422419483580306,0.1930506296291199,17
0.094843216240406,18.537155151367188,18.32535552978516,18.03132057189941,17.279335021972656,0.362046331167221,0.2821040451526642,0.1951582729816436,0.1450235247611999,35.29071807861328,38.2648112379436,-0.0971938982310843,0.0033655165174996,0.2758998370817406,-0.1453620555894719,-19.992508519512555,-20.224925269828613,-20.704548776107572,-20.985137685142675,0.2324167503160588,0.479623506278962,0.2805889090350995,9
0.7630683183670044,18.791563034057617,18.459821701049805,18.408939361572266,18.517295837402344,0.1114323288202285,0.08682731539011,0.0600667335093021,0.0446360222995281,32.545616149902344,43.4384791886838,-0.2761939737134806,-0.4057500351899291,-0.1035411482668226,0.0692118449921954,-24.482154509732933,-24.659734767834177,-24.986065412354016,-25.03503121857318,0.1775802581012442,0.3263306445198388,0.0489658062191651,18
0.259557,18.562349319458008,18.528749465942383,18.39364051818848,18.33574676513672,0.2320453375577926,0.1808081567287445,0.1250822395086288,0.0929495096206665,25.57023429870605,40.664113710316215,-0.2426530669746628,-0.0901973705035717,0.0690565406730846,0.1862567286883293,-22.09115666144134,-22.22597503059901,-22.46461197230945,-22.60757318348849,0.1348183691576672,0.2386369417104461,0.1429612111790383,9
0.3858275115489959,17.31783676147461,17.10556983947754,17.10738182067871,17.13138198852539,0.2124247103929519,0.165519893169403,0.1145058944821357,0.0850901529192924,34.38349151611328,41.65930488875552,-0.2451577808088576,-0.2102174237656333,0.0996486708684092,0.1662284333623488,-24.308735056865,-24.509037518681744,-24.766077633427347,-24.779241486511765,0.2003024618167437,0.2570401147456032,0.0131638530844178,18
0.9537851810455322,19.00058364868164,18.772743225097656,18.555923461914062,18.57317352294922,0.1808380335569381,0.1409077644348144,0.0974793434143066,0.0724375993013382,25.34080696105957,44.03322562695983,-0.358186875355902,-0.3791003004988039,-0.2078352267450599,-0.0189722254236627,-24.85529313647923,-25.022289865798182,-25.366946281715016,-25.51351747788829,0.1669967293189564,0.3446564159168304,0.1465711961732729,21
0.487612783908844,17.945266723632812,17.58738899230957,17.347978591918945,17.125703811645508,0.4254843592643738,0.3315345346927643,0.229354053735733,0.1704346388578415,34.12635040283203,42.26151527294296,-0.224905563971324,-0.2962904149011303,0.0949365762917942,0.029890066142033,-24.5168273446032,-24.709370400425023,-25.23782731105154,-25.33613616629733,0.1925430558218259,0.5284569106265167,0.0983088552457864,21
0.973821461200714,18.704124450683597,18.565025329589844,18.39529800415039,18.500364303588867,0.3469984233379364,0.270378828048706,0.1870468109846115,0.1389958262443542,28.173173904418945,44.08880717740192,-0.3626676313485567,-0.3783412291996678,-0.2227965119708728,-0.033054729012772,-25.369013518707703,-25.415819446661114,-25.657759472265266,-25.694383971044637,0.0468059279534109,0.2419400256041513,0.0366244987793678,10
