SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
125722.13+254638.0,2.831,-24.461660435031884,-24.76671417353017,-25.24915973149804,-25.45413485978124,-25.708129009708465,-19.67147057438829,-22.509662566186112,-26.331343352998417,-26.90589427635486,-27.078769425544383,-26.940044993552156,-27.435142201075543,4
125914.84+672011.8,2.44,-25.134245816111807,-25.10750410763513,-25.498417970520645,-25.60942480224721,-25.80398419256725,-19.42068534611613,-19.920651568559894,-26.07095000598933,-26.56831816359964,-26.97998360467306,-26.455071211881545,-26.901030678807363,4
125935.85+152704.3,2.365,-24.12297249668001,-24.39760890076623,-25.13737078844812,-25.450891620316906,-25.732306922523524,-19.746039330400443,-19.65697556800664,-25.70073709969241,-26.53557590370359,-26.720899100770755,-26.765823938842328,-27.668588872444783,4
130020.21+045854.3,1.830082,-24.89798771351504,-24.972403693398377,-25.301129859922646,-25.563421839786336,-25.76983318976715,-18.662560640953448,-19.611419202769223,-26.05737974559205,-26.549146436996924,-26.98070429557128,-26.74923085150932,-27.55782693483621,4
130124.73+475909.5,2.19,-24.586480881059277,-24.64817212698876,-25.086996981596783,-25.160085477432517,-25.416229375197062,-19.33207328843749,-20.732628154289515,-26.40443811049896,-26.492178808732383,-26.63580783772325,-26.487768671525263,-27.25953987159264,4
130136.12+000157.9,1.79,-24.732304397521045,-25.296989392452403,-25.620735373328227,-25.676647241418213,-25.88470998046588,-17.859339024223498,-17.013042409417565,-25.9986179703142,-26.40659545262834,-26.598547313390487,-26.918144311333272,-27.96783469950345,4
130215.52-024518.2,0.642868,-23.67881904169033,-23.8198361164026,-24.12415129750533,-24.15968762310724,-24.30952857850784,-18.718972430251373,-16.392953250983894,-24.03210473844848,-24.532213716916697,-24.83051869596637,-25.466710848193458,-26.31291949903049,4
130240.16+025457.7,2.425,-25.168305860317485,-25.18385285537144,-25.60657561154664,-25.699810778212065,-25.895243080492104,-18.494199823253037,-21.27780080937089,-26.31468495239629,-26.45906784266537,-27.428794329988232,-27.005769775915265,-27.607218594131744,4
130401.70+290647.3,2.195,-24.709840402732475,-24.813262999981923,-25.163645403471808,-25.21372700834995,-25.39156429546416,-20.01178594756069,-21.31543196800412,-25.53677036888405,-26.382427018054624,-26.51317643772053,-26.042685755309343,-27.00218106088753,4
130541.91+184328.6,2.0624,-24.669158180299785,-24.936658791243293,-25.4641376533836,-25.709537849007027,-26.007875421199465,-21.32119173569787,-21.59777532522473,-26.013941101117503,-26.643633778642453,-26.8973349107397,-27.24505479631236,-27.727978510338065,4
130629.95+474132.3,2.543,-24.512837085277475,-24.539203533447544,-25.188720775273453,-25.53264968898669,-25.792741511775265,-21.618612732224168,-21.9077262578875,-26.303620858516112,-26.38688113861164,-26.638781672568385,-26.84437123224638,-27.47064708839656,4
130635.92+220642.4,0.8803,-25.02035579012665,-24.996881205680054,-25.273853227935035,-25.37907722861728,-25.553063485528,-19.09598444746372,-17.692984604774814,-25.70503867453685,-25.795993144599407,-26.38024183792228,-26.905819660140757,-27.8478984860596,4
130651.98+212158.9,0.929,-23.184628703756204,-23.52039605916952,-24.024869605864897,-24.251323694058662,-24.53688624277832,-19.16469574685044,-17.862951684632314,-25.028681470798197,-25.066829768297215,-25.36170563848833,-26.30347439339733,-27.35035649525817,4
130801.18+530751.2,0.322526,-19.77248506559796,-21.1756896211103,-22.306649896333404,-22.82036404453664,-23.189082285003032,-16.07055043541217,-17.0047943694612,-23.587218522890726,-24.10013824095161,-24.54790685460871,-24.36362365277324,-24.98996752644648,4
130815.43+021411.6,0.77,-24.40917874712196,-24.664080274325435,-25.05096210541682,-25.178958369429704,-25.35183341211621,-18.48604043112486,-16.362616703627218,-25.48822518323496,-25.50451127603386,-26.193482649001098,-27.315195577368865,-28.207137234551464,4
130900.18+103737.4,2.007,-25.26580723678948,-25.54119780463527,-25.813734725006647,-25.869479607899688,-26.10674104084761,-14.512625739373098,-18.84030323988536,-26.26721771539045,-26.25470720494972,-26.87898808279803,-26.88824079443764,-27.92636680568312,4
130915.37+050120.1,0.761231,-23.4061232310641,-23.864275973700423,-24.27192455173617,-24.350658934602496,-24.50076626665101,-18.08470995568937,-18.252461422921023,-24.71672640068109,-25.06784984018068,-25.176199581784875,-26.15809091312523,-27.03809043009407,4
131152.41+205018.1,2.667,-23.997472759160647,-24.353013140498938,-24.89345209341801,-25.26340074018881,-25.726842989448723,-19.62179336340829,-21.5986662618743,-26.20833982465224,-26.40567847716353,-27.253122313614305,-26.70413545576379,-27.352745013594284,4
131209.10+210923.1,2.165,-24.145548262398798,-24.5840891334015,-25.161165698761213,-25.345463410070444,-25.58696054463611,-19.834045372524024,-18.653270236847792,-26.14242375943721,-26.895789720230688,-26.68501758389621,-26.64768327069797,-27.56087172426885,4
131251.79-024737.6,0.874432,-23.863868160461745,-23.94131565763753,-24.224626913543077,-24.262671816078047,-24.42773667302502,-18.660157889409582,-16.939172564222556,-24.59591162930404,-25.31790183368184,-25.48305108182,-25.95597821774372,-26.773514129090124,4
131502.78+325023.2,2.208464,-24.612502570130253,-24.814150241238817,-25.30563962803053,-25.494235641141263,-25.7371837816404,-21.09294669104457,-21.70262087214192,-25.963727091769098,-26.021633520947184,-26.67688448973289,-26.628559171813865,-27.30540013972155,4
131526.00+614133.0,1.571,-22.963638592743724,-23.970320082711822,-24.754681934908213,-25.08555679039399,-25.56128048755205,-18.52572334144811,-18.646480799866925,-25.78094161462157,-26.184555713747702,-26.68777103662533,-26.81923151070436,-27.565169559536493,4
131536.75+191459.9,1.815,-24.36637680874434,-24.992020277987404,-25.39359104816112,-25.677952600442183,-26.00254326342985,-20.080283840163197,-21.68499775201848,-26.221638697537436,-26.696140175275904,-26.8089209739922,-26.94479974092125,-27.603419314037808,4
131552.68+000454.4,0.733561,-23.536199550153743,-23.75189093027254,-23.919507864135856,-24.07335420313212,-24.12924980967968,-18.222175443969583,-17.066608793542937,-24.24664790759124,-24.64507607999287,-24.962616078425818,-25.43019435890678,-26.266062999246987,4
131626.73+655917.1,1.064575,-23.692980929773974,-23.853079912908058,-24.192346909100213,-24.32351664688387,-24.62581163691886,-16.81436406092268,-15.660958221762844,-25.183271543425192,-25.60655001550498,-25.92779434344992,-26.219883011114007,-27.1057680734496,4
131630.46+005125.4,2.398,-24.61244477237956,-24.81783656741466,-25.185464768134693,-25.4370179353865,-25.74377008849505,-17.609767996940423,-20.54567094575861,-26.4923378687314,-26.62686695555512,-27.3563922229653,-27.00646932378065,-27.523114009389705,4
131801.87+470627.8,2.588,-24.24185813033585,-24.833318505246964,-25.35722402893103,-25.623573762146105,-25.961917248321075,-19.5627797205588,-20.28042933060603,-26.466559219195982,-26.73159327444852,-27.01024884834274,-26.891128691530994,-27.300801766571897,4
131903.38+431034.1,1.982,-23.16792819235357,-23.862564568450992,-24.77555706768277,-25.45611076702492,-25.86057130611308,-16.95956530328252,-18.58839374076577,-26.455267955584397,-27.053151986050796,-27.449900130833733,-27.580564204619773,-28.238138702128047,4
131927.57+445656.5,2.99,-23.55696511446057,-25.183415635825963,-25.95528270110327,-26.52491594643342,-27.04464542381275,-17.96749588781205,-20.77167575853933,-27.15998431301941,-27.81506212615236,-28.17872507619942,-28.080530267731984,-28.4137781688956,4
131935.73+022223.2,0.262132,-21.029895611553385,-21.3939631497311,-21.86347847933062,-22.030914030105603,-22.11246598274545,-16.173084748226785,-14.649572535876285,-22.469246991878688,-22.719258860251493,-23.31010182401513,-23.68392212209045,-24.152331505379426,4
132001.17+071817.1,0.865947,-25.067211182066178,-25.43202385727511,-25.85194189796583,-26.02525840091143,-26.24960757881312,-14.23109315813071,-17.596948046696365,-26.61248561531536,-26.68880893553967,-26.886643732077307,-27.48638221836831,-28.285366070948545,4
132101.20+400013.5,1.539,-25.11342964904002,-25.348449616999996,-25.68686757769576,-25.79945853583697,-26.075136094835877,-15.90163588335968,-18.60541319228863,-26.38398751918062,-26.592255623238568,-26.740138866532543,-27.40588378949135,-28.38409622892997,4
132123.40+045930.7,0.242796,-21.98303908478657,-22.379982192944,-22.8965358707285,-23.108994974899083,-23.083033981017916,-15.539343761142796,-16.391581370063246,-23.276073937873026,-23.3731011063761,-23.763225317503963,-24.380636896328472,-25.004135232545533,4
