SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
130136.46+242134.0,0.2492,-21.056060057631303,-21.213264516870243,-21.59401766805449,-21.85470370325653,-21.965679652674265,-20.194693798998337,-20.24956825738187,-22.543185402649023,-22.61717979143591,-23.17222788639641,-23.85855655334257,-24.378620854102504,7
130223.12+140609.0,0.286074,-23.149619086629038,-23.383792650617178,-23.65497439455515,-23.74288390263729,-23.78593180986124,-22.807017122942614,-22.937876949583927,-23.77276499331527,-24.183101500495415,-24.61366687628513,-25.1097561567178,-25.690469416125104,7
130416.99+020537.0,0.228736,-22.29406022148133,-22.423456788345494,-22.71200576689377,-22.82922043916054,-22.843586245908213,-21.909800489547244,-22.06389544404725,-23.17036759531384,-23.58189236428039,-24.096372194874203,-24.875676175367992,-25.521394019260946,7
130429.90+120145.4,0.236985,-20.99197868579844,-21.26510830373912,-21.693446010062576,-21.817902079669462,-21.893348720598595,-20.898800859309496,-20.82368707556515,-21.827407645169984,-22.53439046415328,-22.80046994161925,-23.382850086991454,-23.9601618513673,7
130456.91+132846.1,0.298494,-20.9869377899265,-21.47623617495879,-22.146596576363635,-22.44278071738851,-22.43012713298493,-21.407079182750717,-21.532777739487116,-22.67161954113279,-23.25146572757683,-23.32000109689238,-23.811349297566437,-24.26409450727891,7
130516.83+261304.0,0.183,-21.20829704471658,-21.550439492376544,-21.914823201681685,-22.00592844472642,-22.090552517574714,-19.699981593044186,-20.69513060439392,-22.489828339610348,-22.99251229857696,-23.746797787335357,-23.975600647171795,-24.429162296858685,7
130708.76+342421.8,0.186447,-22.7478177899902,-22.78879399556161,-22.971415652979267,-23.126399635626115,-23.056983318646807,-22.406419099464564,-22.671568584557164,-24.240965288434555,-24.53697430930187,-24.438272555578767,-24.65902018582856,-25.046260175383985,7
130730.01+092205.1,0.259498,-22.292967954278414,-22.423974647848883,-22.637297320490667,-22.77158849656346,-22.84116077382535,-22.00419977285028,-22.248706143633747,-23.114791459440774,-23.558004437366264,-24.05647550425672,-24.391861360438813,-24.776425418342512,7
130734.18+664525.0,0.310596,-22.08973591561849,-22.21882836726793,-22.50685135151013,-22.665245085162887,-22.69131531991017,-21.56900396840544,-21.845305174627605,-23.00903241723424,-23.275386775939783,-23.98414920885501,-24.35318053364856,-24.910585756827054,7
130818.89+034437.2,0.227849,-22.89929169592861,-22.94175780502312,-23.100034271858707,-23.289521837484937,-23.182396697325213,-22.87882882364212,-22.95534437043785,-23.33837674842807,-23.673594970373195,-24.30342955321639,-24.700897102483864,-25.195726396836776,7
130843.86+190439.7,0.2219,-22.65095983988215,-22.80581442790674,-23.00879278659305,-23.135163453340912,-23.074515015565467,-22.23305595091189,-22.34150654613696,-23.25420816928722,-23.560048618559392,-24.058157065418044,-24.604178389159163,-25.111333216629944,7
130925.62+124338.8,0.220679,-20.907765588647024,-21.387083318187145,-21.909095700321235,-22.14959656072626,-22.158313287870364,-19.558290204442866,-20.115690177463712,-22.5906704956802,-22.849256672802763,-23.17960331110322,-23.78840028438326,-24.271992444951884,7
