SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
125537.09+423733.1,1.208858,-24.887753676069124,-25.07790478486145,-25.33237228992424,-25.497830972644817,-25.72016092686399,-23.573379670818927,-24.884525823236228,-25.86799258700057,-26.02273627176852,-26.420167959613387,-26.562707888069,-27.454490530734443,6
125547.61+401230.7,1.085,-24.29571378820668,-24.43175909607053,-24.757965455432736,-24.951397233562734,-25.116649056794568,-22.13382056332084,-24.0734147171746,-25.021421892768004,-25.306409316200615,-25.38428655674944,-26.101906779413177,-26.96336004326057,6
125645.80+141426.8,1.736095,-24.72321875308256,-25.00609488958296,-25.41455884923437,-25.672600196600325,-25.898456688544695,-22.10144637415832,-23.87418619618028,-26.22030842181491,-26.560473844513208,-26.265991286044283,-27.36712802552266,-28.26125496746561,6
125704.21+063559.2,0.5735,-22.98953143198034,-23.46151470045752,-24.036124274790826,-24.194188970776917,-24.45632286395317,-21.791116117579364,-22.07216197880003,-24.288173193417208,-24.6106667162675,-24.62659512912819,-25.48908116658315,-26.380240858056386,6
125719.53+005018.9,1.525629,-24.951072919783893,-25.202702118155155,-25.630368964691527,-25.81783972649012,-26.0909937831756,-23.199602137022488,-24.743802791389744,-26.57712174430142,-26.92739204474802,-26.841759089402355,-27.43744360991192,-28.35696116795385,6
125739.20+144806.2,0.821742,-23.802095446500815,-23.90853256425141,-24.22758936269259,-24.364322197736687,-24.520409686724832,-22.593126119745488,-23.687787825599035,-24.535840511106027,-25.59755833178586,-25.632393596826027,-25.71224035416872,-26.538500805595405,6
125944.09+445444.1,1.392,-24.698146075587037,-24.82143186132153,-25.07691236917162,-25.25710486441665,-25.515304247110823,-21.67768974805423,-24.23425995340164,-25.4035994588303,-25.853556352971285,-26.0042038769627,-26.34092924816326,-27.216838432418488,6
125949.76+251842.6,1.0773,-23.315355046824543,-23.4053416522574,-23.755515634514246,-23.8528903373848,-23.998896405504823,-22.24341476885011,-23.193000529272265,-25.37304056206797,-25.774199986929723,-25.30432171225312,-25.308607588628742,-25.910783037569946,6
130034.99+024501.4,1.284967,-24.112683081268028,-24.50827594798381,-24.989524614447987,-25.258660859592545,-25.56986573791096,-23.15153945054578,-23.96798123873033,-25.80059229031724,-26.07576603340493,-25.8889581981585,-26.76852242607831,-27.77126274815741,6
130100.86+281944.7,1.361,-25.1976986849638,-25.386099629189488,-25.72726683150552,-25.90295119317553,-26.18118462865841,-24.586564993043503,-25.529737713004128,-26.411779996324345,-26.63123108847696,-26.678700073256277,-27.603894594381032,-28.54234681845509,6
130104.92+244859.0,1.0334,-23.531622123704285,-23.63474834498652,-24.01150799560366,-24.14721826946977,-24.4315946531251,-20.20642764694275,-23.538606634147108,-25.077932055361185,-25.520217494666884,-25.53331320449593,-25.867833071160323,-26.77073240322654,6
130111.32+312922.8,0.354211,-21.914645852976143,-22.150008371582803,-22.58607680053233,-22.74191543323308,-22.81052011862469,-21.65975127175309,-21.798437390501363,-23.21302998415944,-23.77511263398613,-23.896854140041096,-24.528819389736377,-25.30939764820892,6
130153.78-011411.0,1.718,-24.791780635997338,-24.972478626089032,-25.26628884847644,-25.384453722170687,-25.6647048315157,-22.485159684038507,-24.274940429320758,-26.008025620038637,-26.36651344019538,-26.869322348583605,-26.874363947148908,-27.876601369389128,6
130159.15+152422.8,1.521483,-24.65447850139788,-24.79134882717042,-25.049094850957022,-25.17447941343421,-25.40579998522013,-22.754889618873055,-24.12497626207743,-25.61762372643159,-26.06903546893741,-25.900512765489506,-26.463900925047945,-27.356791755440444,6
130203.08+265809.1,0.994,-25.103437816456847,-25.17790930973533,-25.44917264371271,-25.513568084819923,-25.643501517746166,-21.309524825357144,-24.57720226474899,-25.587331948537425,-25.75704657647833,-26.25384421031127,-26.85485864932828,-27.66918045368885,6
130236.35+305146.8,0.914,-24.221889707202603,-24.396857822361987,-24.730481792189867,-24.895866766252936,-25.121034425330382,-22.305832782678664,-23.803333755047937,-25.138479054754782,-25.66100816747232,-25.863083141746294,-26.450097205267987,-27.23422790719751,6
130313.02+281107.7,1.315,-25.664206140193787,-25.863019719994163,-26.06267657951423,-26.17781539236661,-26.45128369051023,-24.643719191311327,-25.839784180199132,-26.315041064959814,-26.46305715051704,-26.4969743644904,-27.6461427697788,-28.541880405521635,6
130537.33+283007.0,1.141962,-24.46085219759553,-24.516321164079937,-24.92673570069852,-25.072502041375078,-25.24559736544505,-21.531601397112272,-24.247456689553267,-25.25103341455568,-25.54990247343544,-25.824895323448143,-26.14480834544885,-27.07874359129769,6
130641.67+414827.4,1.161612,-24.271770064774486,-24.533776099187595,-24.91950851722346,-25.1752842662442,-25.58560718857808,-23.076290974258107,-24.12696533434959,-26.14955518526416,-26.322724392802616,-26.416324271214904,-26.737223340968225,-27.59942592904898,6
130646.77+200910.4,1.167,-24.748385113835795,-25.10902279245051,-25.504730181443566,-25.61603777974165,-25.84426869240472,-22.84163669546685,-24.629378251953305,-26.104468507449948,-26.0062487501952,-26.557794143458345,-26.670942674215425,-27.490333343130263,6
130725.11+371042.1,1.775193,-23.800889773737044,-24.094817299486163,-24.445561322561723,-24.645507192872262,-24.93970717825727,-21.36798108484593,-22.884693578426567,-25.936426222483718,-26.20933585861302,-25.290131079678687,-26.244864307136503,-27.143190766092395,6
130729.11+533552.8,0.806242,-24.137160804151037,-24.48256290342334,-24.797571797534168,-24.953922730877157,-25.083719219647243,-22.062954231952613,-23.709470143925454,-25.338060580270856,-25.16328614750813,-25.42382432763917,-26.1856492095574,-26.96129916408165,6
130741.65+512803.8,0.9,-24.03923505220326,-24.233748004001168,-24.601210111558565,-24.69362303568621,-24.88436722380029,-22.65348117762028,-24.06707254474285,-25.179479818667694,-24.9115092167921,-24.823577451869035,-25.904186065451327,-26.892970501413664,6
130753.47+115803.3,0.97,-25.24769786111052,-25.40322755109261,-25.727474023925662,-25.891854054611446,-26.09398895273418,-24.346778669511185,-25.100631567160946,-26.080183997390545,-26.07444326923452,-26.49039915861376,-27.004773516668827,-27.8861158542291,6
