SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
125644.50-031446.2,0.318285,-21.915450381093677,-22.16044464189752,-22.503960137046437,-22.627037119511375,-22.84751198290502,-21.05927010589009,-21.26715706731056,-23.137307335197207,-23.572296728314008,-23.533803778401182,-24.08712600870458,-24.693565325057374,0
125714.69-015053.1,1.054478,-25.28381722381908,-25.402060571905977,-25.545418938405128,-25.60943640242084,-25.81878392238383,-24.68197863307932,-25.17079135410127,-25.602153817298024,-25.65197618843448,-26.06231402802436,-26.505605725555977,-27.409336753488358,0
125731.44+404206.9,1.26,-24.100839970672045,-24.42112618776548,-24.809413782414627,-25.053647186851297,-25.363880573114223,-20.66366920838085,-23.767387749433457,-25.49926966712984,-26.022613193977413,-25.925598988044385,-25.943225520276386,-26.497668282282973,0
125901.67+413055.8,0.745117,-24.81762133352834,-25.02829161726768,-25.45679216310141,-25.617523965936247,-25.738754849570057,-24.269597401542452,-24.415486657939503,-25.897070237867368,-25.863920215603425,-26.15791940012572,-26.68517451225452,-27.327356996909693,0
125924.28+445105.0,2.028,-24.956226374968,-25.394094303546037,-26.01278438643992,-26.11881827332984,-26.215502652449352,-21.898955250297263,-23.65311271654473,-26.22358832368242,-26.990079608999235,-26.760049769981126,-26.581101365373296,-26.94415146584326,0
125948.78+342322.5,1.377028,-25.923377612586084,-26.149083224617737,-26.499935500869853,-26.634239789112165,-26.87745689221899,-24.358167865511327,-25.758388368343645,-26.828616860648324,-27.129156599660057,-26.938159902035117,-27.32280709650703,-27.917901969728035,0
130023.84+151856.0,1.956,-24.34326153159989,-24.612881035840044,-24.93946476102586,-25.092972104648457,-25.390207100306064,-22.349038313186824,-23.21125195693193,-25.955028526983725,-27.105260306614245,-26.3449841799824,-26.36836511662221,-27.17086800122492,0
130036.82+162906.9,0.9608,-23.89132295259583,-24.06481864938429,-24.44616929025724,-24.66864973028597,-24.94336940316098,-22.10057576737303,-23.78747969934632,-24.95916333007534,-25.505162950959875,-25.33718489391649,-25.955373849200765,-26.57516433974325,0
130058.58+193559.4,0.6079,-23.10272522027776,-23.324664982016284,-23.74951657847579,-23.86428447892417,-24.09219631956161,-22.33191489285621,-22.735203163295825,-24.314004957535417,-24.47856612453648,-24.658564566189533,-25.36126827834067,-25.996206397056017,0
130225.24+332933.2,0.922611,-23.59259222548901,-23.795312626043984,-24.186928673339665,-24.315154133242597,-24.51677815337113,-22.57599238597632,-23.49105066651322,-24.91794736701611,-24.98775896529439,-25.418471145767978,-25.391209979693038,-26.172942518469785,0
130226.96+130656.7,0.953588,-24.218142968167932,-24.45072613760519,-24.648031161769808,-24.819421874251717,-24.989891279729047,-21.089971744146933,-23.16522315506436,-25.4966211610385,-25.55112478233779,-25.740417950510047,-25.640700638510875,-26.18783266756376,0
130243.08+130039.3,1.649889,-24.62360300895477,-25.13986421112712,-25.57267418449921,-25.683940795286237,-25.98396456041774,-19.253475844800263,-22.847871912665017,-26.10778412872505,-26.147534123761982,-26.48315180111943,-26.81578148587135,-27.65801760965154,0
130255.44+241210.2,0.6149,-24.20476287804564,-24.254893896393003,-24.60594542103204,-24.523793928151623,-24.67722744303982,-24.337518032023883,-24.25278204779704,-24.73869503468956,-24.942525023359167,-25.220196584862737,-25.37770200173703,-26.29700142764389,0
130307.77+153936.7,0.637485,-23.22715172158485,-23.421795292226328,-23.78881185788337,-23.92207036841644,-23.978997320984607,-23.376641226243372,-23.0712924344281,-23.911940764387765,-24.413251275488232,-24.61421476090165,-25.073213991604355,-25.925982631191165,0
130325.88+174000.1,0.884,-23.816481856241975,-24.21472823287461,-24.589580543405035,-24.7868046332918,-25.01731438294108,-20.07279910773254,-23.28222958417942,-25.238180349744887,-25.321089430093952,-25.54987555395592,-25.787361564512643,-26.55635290700791,0
130345.98+263314.1,0.4356,-23.1387030129287,-23.259282833011667,-23.430078399602134,-23.521485004091264,-23.796384949320167,-23.39497274523608,-23.221676327658333,-23.41569961981255,-23.849723543012303,-24.25434189465449,-24.634440886908635,-25.46039254894136,0
130433.42+320635.5,1.333108,-24.343847701315934,-24.456193127299112,-24.873608566479785,-24.92229496398925,-25.13563839794073,-20.414970362980583,-23.70473659631947,-25.25057716487018,-25.52513517222,-26.104852121801525,-26.24327040282298,-27.098686551338663,0
130435.03+184749.0,0.6416,-24.93057466031301,-25.079882907811,-25.453307801681262,-25.63268434025794,-25.800394243686306,-24.833300778453648,-24.688861907522323,-25.955591419372062,-26.043639007575024,-26.368129684992205,-26.71174992111088,-27.497443451277643,0
130451.41+245445.9,0.6024,-24.051250808412004,-24.18471493722876,-24.444321577296385,-24.43271155833077,-24.593786420962186,-24.31984725840548,-24.03931317105304,-24.733953139128012,-24.72653192003853,-25.137671849770232,-25.52588655064025,-26.449205881573857,0
