SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
125550.30-001830.9,0.71758,-23.80152726976733,-23.937239378563067,-24.211573998732256,-24.206930225064887,-24.30366309627742,-23.23432840444794,-23.651152503241917,-24.68376045064201,-24.635268366058884,-25.03556450349865,-26.020781990999623,-26.85604765007108,1
125659.92+042734.4,1.025584,-25.97946189598398,-26.161702228488924,-26.436956306392958,-26.593953908084792,-26.87706838392708,-23.16796598795204,-25.69626944497964,-26.93102652777045,-27.0251683001089,-27.31057564784325,-28.256439800652963,-29.175678022433832,1
125703.12+002435.8,1.260971,-25.15334102311236,-25.256799475068057,-25.41927850189128,-25.49500691682592,-25.64144807181952,-23.598261356197263,-24.69741134376679,-25.85197491157352,-25.43935278240045,-26.3490131232356,-26.35545804695491,-27.21773089560712,1
125727.16+502845.2,0.826253,-23.38126072410171,-23.62884678567976,-24.04734757477423,-24.133796050182177,-24.36677029183003,-21.25137129424193,-23.34628241537189,-24.849037768065926,-25.15682033580864,-25.316677259871906,-25.735793351041497,-26.52673646699288,1
125749.70+123353.0,0.940224,-24.41676364510677,-24.68822693871785,-25.143624645803826,-25.330903052808274,-25.608571249165703,-22.41873401475491,-24.26436592181629,-25.66854628267868,-25.72838059073853,-26.362384093079445,-27.40118027547904,-28.36064412073448,1
125803.30+433228.8,0.582348,-23.10441212205576,-23.293628746871605,-23.6001062823942,-23.728976219321712,-23.84973352329618,-23.43267932749697,-23.170110126802616,-24.091675273073896,-24.481940212001746,-24.856783761904747,-25.634525008308188,-26.613858889876493,1
125844.38+120224.5,0.958,-24.401011167743103,-24.534571312281024,-24.91106580157274,-25.08089948603008,-25.369599063606124,-23.342695986188374,-24.526916105986707,-25.5677600829856,-25.83484018350263,-26.27492086892536,-26.611646527527373,-27.562697341219103,1
125849.84-014303.3,0.966193,-24.86932279028102,-25.054583179316463,-25.368991322056864,-25.50481306551892,-25.612850841779014,-24.1703121895064,-25.01660110435609,-25.79072755155856,-25.72278491496391,-26.124671506524976,-26.73622582822584,-27.552636098533384,1
130002.91-010601.7,0.30771,-21.978138218908768,-22.185764950762863,-22.576444756399887,-22.65368222455909,-23.008558880473387,-21.395834140574912,-21.9094082204598,-23.200562689377247,-23.144202254420023,-23.699159613340743,-24.067939891036303,-24.6489135246624,1
130033.88+200023.8,1.0048,-23.9766279817111,-24.095905180983674,-24.470130846608537,-24.63976619224076,-24.80586752739488,-21.910247284431865,-23.982415332822235,-24.72518253559533,-25.10825959383806,-25.73042427265512,-26.279537714897952,-27.10183449488136,1
