SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,u_g,g_r,r_i,i_z,FUV_NUV,j_h,h_k,W1_W2,opt_mir
130114.47+155616.3,-23.59331175195256,-23.8585222964752,-24.20714669600128,-24.24079020701132,-24.377272357539088,-23.37982538785421,-23.4428449787866,-24.642610096143063,-24.559297098921554,-24.90160112134309,-25.64418855224861,-26.58448601674587,2,0.2652105445226418,0.3486243995260807,0.033643511010037486,0.1364821505277689,0.06301959093238807,-0.08331299722150831,0.342304022421537,0.9402974644972595,1.4033983452372922
130153.78-011411.0,-24.791780635997338,-24.972478626089032,-25.26628884847644,-25.384453722170687,-25.6647048315157,-22.485159684038507,-24.274940429320758,-26.008025620038637,-26.36651344019538,-26.869322348583605,-26.874363947148908,-27.876601369389128,2,0.1806979900916943,0.29381022238740684,0.11816487369424777,0.28025110934501285,1.7897807452822505,0.35848782015674274,0.502808908388225,1.0022374222402206,1.489910224978221
130203.08+265809.1,-25.103437816456847,-25.17790930973533,-25.44917264371271,-25.513568084819923,-25.643501517746166,-21.309524825357144,-24.57720226474899,-25.587331948537425,-25.75704657647833,-26.25384421031127,-26.85485864932828,-27.66918045368885,2,0.07447149327848379,0.2712633339773802,0.06439544110721229,0.1299334329262436,3.2676774393918464,0.16971462794090542,0.49679763383294073,0.8143218043605707,1.3412905645083555
130207.79+585431.3,-23.79994436003008,-24.143598846545785,-24.586035588401824,-24.78595913385259,-24.984579782276352,-22.096007789065467,-23.381816604606684,-25.187814402933338,-25.10713489533214,-25.63948415589668,-26.677697658674283,-27.67519494626093,2,0.34365448651570674,0.44243674185603865,0.19992354545076552,0.1986206484237627,1.2858088155412162,-0.08067950760119658,0.5323492605645406,0.997497287586647,1.8917385248216938
130226.96+130656.7,-24.218142968167932,-24.45072613760519,-24.648031161769808,-24.819421874251717,-24.989891279729047,-21.089971744146933,-23.16522315506436,-25.4966211610385,-25.55112478233779,-25.740417950510047,-25.640700638510875,-26.18783266756376,2,0.23258316943725887,0.19730502416461704,0.17139071248190874,0.17046940547733058,2.075251410917428,0.05450362129928976,0.18929316817225583,0.5471320290528858,0.8212787642591586
130230.62+013706.3,-24.877855702965924,-25.06313117566017,-25.390981098653253,-25.51166684635723,-25.77696076037821,-22.095118502494383,-24.61953139825892,-26.013231841690818,-25.93063935644031,-26.883709876445863,-27.02267360972988,-27.918946590730854,2,0.18527547269424716,0.3278499229930816,0.12068574770397689,0.26529391402097957,2.524412895764538,-0.08259248525050822,0.9530705200055536,0.8962729810009762,1.5110067633726487
130240.16+025457.7,-25.168305860317485,-25.18385285537144,-25.60657561154664,-25.699810778212065,-25.895243080492104,-18.494199823253037,-21.27780080937089,-26.31468495239629,-26.45906784266537,-27.428794329988232,-27.005769775915265,-27.607218594131744,2,0.01554699505395618,0.4227227561751974,0.0932351666654263,0.1954323022800395,2.783600986117854,0.14438289026907825,0.9697264873228626,0.601448818216479,1.3059589977032005
130243.08+130039.3,-24.62360300895477,-25.13986421112712,-25.57267418449921,-25.683940795286237,-25.98396456041774,-19.253475844800263,-22.847871912665017,-26.10778412872505,-26.147534123761982,-26.48315180111943,-26.81578148587135,-27.65801760965154,2,0.5162612021723483,0.43280997337209115,0.11126661078702682,0.30002376513150253,3.5943960678647535,0.03974999503693155,0.3356176773574475,0.8422361237801894,1.1318406905851148
130311.36+170430.6,-23.88626621061325,-24.019758220129926,-24.291276964714125,-24.385208920531365,-24.587030630652883,-21.465401128057294,-23.562467973947637,-24.734701642479184,-24.62770059038152,-25.00157439518334,-25.86470432468301,-26.658054911296045,2,0.13349200951667584,0.2715187445841991,0.09393195581724001,0.20182171012151784,2.0970668458903425,-0.1070010520976652,0.3738738048018213,0.7933505866130339,1.4794954041516455
130313.02+281107.7,-25.664206140193787,-25.863019719994163,-26.06267657951423,-26.17781539236661,-26.45128369051023,-24.643719191311327,-25.839784180199132,-26.315041064959814,-26.46305715051704,-26.4969743644904,-27.6461427697788,-28.541880405521635,2,0.19881357980037606,0.19965685952006496,0.1151388128523827,0.2734682981436194,1.1960649888878052,0.14801608555722723,0.03391721397335701,0.8957376357428366,1.4683273774121872
130325.88+174000.1,-23.816481856241975,-24.21472823287461,-24.589580543405035,-24.7868046332918,-25.01731438294108,-20.07279910773254,-23.28222958417942,-25.238180349744887,-25.321089430093952,-25.54987555395592,-25.787361564512643,-26.55635290700791,2,0.39824637663263474,0.3748523105304251,0.19722408988676676,0.23050974964927917,3.2094304764468795,0.08290908034906508,0.22878612386196906,0.7689913424952657,1.0005569312208422
130357.42+103313.5,-23.8863482747632,-24.08562486569461,-24.557132264427096,-24.64718051792708,-24.890563852796458,-23.820838803357532,-23.716853701063968,-25.047797415172457,-24.89090858366047,-25.113524348036712,-25.912390408788944,-26.74291246111755,2,0.19927659093140804,0.4715073987324878,0.09004825349998313,0.24338333486937813,-0.10398510229356361,-0.1568888315119885,0.22261576437624342,0.8305220523286074,1.2652098908618647
